Learning Rate	Momentum	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Inner Prod. Loss Sum	Inner Prod. Loss Mean	Inner Prod. Loss Std	
0.001000	0.900000	633.012150	166.449635	40.284000	49.410000	460472704.000000	1177679.500000	997692.125000	
0.001000	0.900000	443.039907	113.496358	59.534000	62.370000	753491968.000000	749409.875000	596883.000000	
0.001000	0.900000	362.605578	97.280123	67.528000	67.710000	972137840.000000	559196.625000	496117.093750	
0.001000	0.900000	312.736512	89.578961	72.614000	73.360000	1153554064.000000	463980.125000	447746.156250	
0.001000	0.900000	284.368986	108.521755	75.496000	73.160000	1312893552.000000	407517.875000	475498.031250	
0.001000	0.900000	309.036993	116.567292	76.946000	75.550000	1475617680.000000	416174.250000	640399.750000	
0.001000	0.900000	342.566134	111.877658	76.518000	76.300000	1789287696.000000	802225.125000	1119259.875000	
0.001000	0.900000	336.874824	86.025095	77.112000	75.410000	2109265904.000000	818358.562500	1270827.000000	
0.001000	0.900000	361.182736	214.312126	77.038000	77.890000	2470173424.000000	923037.125000	1184474.750000	
0.001000	0.900000	351.270930	395.915361	77.518000	76.430000	2783446384.000000	801209.625000	1177035.500000	
0.001000	0.900000	392.394048	76.590943	77.390000	80.530000	3123450992.000000	869577.000000	998963.812500	
0.001000	0.900000	363.845033	392.988587	78.194000	71.760000	3432991024.000000	791662.500000	1010308.375000	
0.001000	0.900000	393.340139	102.487365	77.978000	79.980000	3740090384.000000	785420.375000	1126845.250000	
0.001000	0.900000	362.005735	106.102129	79.260000	79.410000	4045017104.000000	779863.750000	977571.250000	
0.001000	0.900000	420.420805	140.495954	79.038000	78.540000	4336886928.000000	746470.125000	1024978.625000	
0.001000	0.900000	363.125854	81.031277	79.700000	82.050000	4667742384.000000	846177.625000	1013999.125000	
0.001000	0.900000	384.166954	99.787636	80.164000	80.800000	4950687792.000000	723645.562500	910434.375000	
0.001000	0.900000	375.759062	141.159933	80.796000	76.350000	5228158160.000000	709642.875000	894426.500000	
0.001000	0.900000	380.149767	84.196054	81.330000	82.910000	5513012496.000000	728527.687500	881693.250000	
0.001000	0.900000	356.811895	2618.424524	82.078000	80.320000	5794674384.000000	720362.875000	850021.937500	
0.001000	0.900000	381.578279	98.348760	82.106000	81.340000	6068298832.000000	699806.750000	828107.187500	
0.001000	0.900000	478.299507	147.881385	82.326000	80.240000	6351248400.000000	723656.187500	833497.562500	
0.001000	0.900000	429.720980	82.705263	82.512000	84.490000	6637293200.000000	731572.375000	796836.687500	
0.001000	0.900000	375.140393	284.206205	83.130000	76.400000	6897613840.000000	665781.687500	773762.750000	
0.001000	0.900000	350.629745	112.964255	83.728000	79.890000	7147098000.000000	638066.875000	720525.562500	
0.001000	0.900000	377.604475	190.419687	83.766000	74.130000	7406327488.000000	662991.000000	625430.875000	
0.001000	0.900000	363.625245	89.222218	84.602000	84.700000	7641075264.000000	600377.937500	604500.375000	
0.001000	0.900000	378.129667	161.694524	84.520000	85.460000	7879390272.000000	609501.312500	595828.875000	
0.001000	0.900000	419.633907	117.480966	84.692000	84.090000	8102158864.000000	569740.625000	581574.312500	
0.001000	0.900000	434.669472	5906.857077	85.068000	83.430000	8320500592.000000	558418.750000	588756.062500	
0.001000	0.900000	379.940421	1373.348211	85.348000	81.750000	8531871568.000000	540590.750000	591704.812500	
0.001000	0.900000	397.615874	3304.055090	85.862000	85.070000	8732329248.000000	512679.500000	511033.250000	
0.001000	0.900000	437.985138	3055.993885	86.034000	81.230000	8931976624.000000	510607.093750	498340.031250	
0.001000	0.900000	453.718979	568.937145	86.088000	82.500000	9142529168.000000	538497.562500	527580.812500	
0.001000	0.900000	464.142167	1604.111349	86.576000	83.670000	9324972736.000000	466607.593750	483602.906250	
0.001000	0.900000	412.813715	4040.082948	86.528000	84.330000	9527393024.000000	517698.937500	462455.343750	
0.001000	0.900000	443.449309	1700.178161	86.806000	84.780000	9725977280.000000	507888.125000	494127.031250	
0.001000	0.900000	402.791043	113.820920	87.216000	85.450000	9896220288.000000	435404.125000	458919.937500	
0.001000	0.900000	353.510357	5991.232372	87.740000	86.480000	10063869792.000000	428771.125000	463808.500000	
0.001000	0.900000	377.262843	544.618288	87.772000	85.690000	10232291744.000000	430746.687500	474022.125000	
0.001000	0.900000	399.116011	855.652822	87.730000	84.660000	10396357888.000000	419606.500000	449377.687500	
0.001000	0.900000	426.809332	2684.488197	88.278000	85.520000	10550495392.000000	394213.562500	453624.093750	
0.001000	0.900000	423.292154	619.949279	88.298000	83.920000	10688265408.000000	352352.968750	410811.593750	
0.001000	0.900000	434.635868	172.852630	88.644000	86.420000	10821877392.000000	341718.625000	416720.593750	
