Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	0.984422	0.743204	91.688332	0.716707	92.110001	64.227904	
0.100000	0.550551	0.153624	95.901665	0.140055	96.029999	128.540406	
0.100000	0.415595	0.118277	96.536667	0.108971	96.709999	192.699166	
0.100000	0.373205	0.103983	97.106667	0.095973	97.080002	256.863989	
0.100000	0.328751	0.091770	97.323334	0.085213	97.349998	320.971637	
0.100000	0.315544	0.081798	97.683334	0.075881	97.739998	385.391505	
0.100000	0.298041	0.079534	97.681664	0.076013	97.839996	449.800305	
0.100000	0.286843	0.075120	97.888336	0.071159	97.910004	514.038197	
0.100000	0.274617	0.069834	98.023331	0.066149	98.080002	578.113083	
0.100000	0.268953	0.067070	98.084999	0.064537	98.199997	642.252247	
