Learning Rate	Momentum	newstat	Train Loss	Train Acc.	iploss	
0.100000	0.900000	1.000000	2.307538	14.843750	0.000000	
0.100000	0.900000	1.148698	4.554484	14.062500	-0.137537	
0.100000	0.900000	1.245731	6.682544	20.572917	0.270091	
0.100000	0.900000	1.319508	8.653085	27.148438	0.875032	
0.100000	0.900000	1.379730	10.460514	34.687500	1.413088	
0.100000	0.900000	1.430969	12.056034	39.843750	2.015438	
0.100000	0.900000	1.475773	13.434589	44.977679	2.283734	
0.100000	0.900000	1.515717	14.665695	48.632812	3.071991	
0.100000	0.900000	1.551846	15.670664	51.996528	3.490226	
0.100000	0.900000	1.584893	16.586021	54.140625	3.571866	
0.100000	0.900000	1.615394	17.389659	56.392045	3.807731	
0.100000	0.900000	1.643752	18.152023	58.072917	3.827603	
0.100000	0.900000	1.670278	18.816965	59.915865	4.323701	
0.100000	0.900000	1.695218	19.438825	61.439732	4.318681	
0.100000	0.900000	1.718772	19.993495	62.708333	4.713349	
0.100000	0.900000	1.741101	20.635931	63.769531	4.377299	
0.100000	0.900000	1.762340	21.169171	64.935662	4.224331	
0.100000	0.900000	1.782602	21.806816	65.668403	4.720346	
0.100000	0.900000	1.801983	22.341124	66.447368	4.601815	
0.100000	0.900000	1.820564	22.870409	67.109375	5.072632	
0.100000	0.900000	1.838416	23.401551	67.894345	4.890045	
0.100000	0.900000	1.855601	23.991209	68.536932	5.257252	
0.100000	0.900000	1.872171	24.258001	69.463315	5.260890	
0.100000	0.900000	1.888175	24.768540	70.182292	5.465714	
0.100000	0.900000	1.903654	25.171112	70.781250	6.059256	
0.100000	0.900000	1.918645	25.553009	71.364183	6.474636	
0.100000	0.900000	1.933182	26.029676	71.961806	6.586105	
0.100000	0.900000	1.947294	26.426399	72.433036	7.013068	
0.100000	0.900000	1.961009	27.100163	72.602371	7.877172	
0.100000	0.900000	1.974350	27.382631	73.203125	8.506303	
0.100000	0.900000	1.987341	27.598790	73.891129	8.519207	
0.100000	0.900000	2.000000	28.048730	74.340820	8.996294	
