Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.220829	2.267229	11.363334	2.266569	11.000000	84.119487	
0.100000	1.017216	2.186282	37.610001	2.184432	37.610001	169.279556	
0.100000	0.896586	2.087455	59.496666	2.084086	60.799999	255.048364	
0.100000	0.825085	1.960219	74.673332	1.954017	75.709999	337.839718	
0.100000	0.755447	1.799677	83.556664	1.790378	84.360001	420.711927	
0.100000	0.718964	1.610301	88.443336	1.597717	89.089996	507.696867	
0.100000	0.684691	1.424901	91.010002	1.408703	91.620003	593.699119	
0.100000	0.652775	1.230600	92.695000	1.211635	93.419998	678.585051	
0.100000	0.622175	1.047069	93.618332	1.025419	94.139999	764.880145	
0.100000	0.595862	0.886017	94.175003	0.862938	94.680000	854.622409	
