Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000336	0.002294	17.990000	15.440000	
0.000333	0.202173	16.666000	10.000000	
0.000283	0.014359	23.820000	11.790000	
0.000267	0.003183	27.742000	19.540000	
0.000251	0.001990	31.920000	27.770000	
0.000240	0.001765	35.148000	34.960000	
0.000234	0.001737	36.650000	36.320000	
0.000226	0.001740	39.334000	34.750000	
0.000219	0.001606	41.788000	40.480000	
0.000210	0.001529	43.924000	42.570000	
0.000207	0.001559	44.912000	43.060000	
0.000201	0.001647	47.026000	38.350000	
0.000194	0.001421	48.364000	46.840000	
0.000189	0.001371	50.108000	49.330000	
0.000185	0.001479	51.700000	46.900000	
0.000179	0.001273	53.228000	53.660000	
0.000172	0.001615	55.288000	45.460000	
0.000178	0.001287	53.306000	54.730000	
0.000165	0.001343	57.050000	52.580000	
0.000157	0.001389	59.124000	52.460000	
0.000153	0.001173	60.706000	58.320000	
0.000146	0.001174	62.646000	58.160000	
0.000139	0.001313	64.240000	55.840000	
0.000135	0.001175	65.324000	59.300000	
0.000130	0.001383	66.660000	54.960000	
0.000135	0.001330	65.130000	55.020000	
0.000131	0.001078	66.430000	63.260000	
0.000124	0.000996	68.394000	65.490000	
0.000117	0.001088	70.438000	61.510000	
0.000119	0.001018	69.784000	64.670000	
0.000110	0.000949	71.768000	67.160000	
0.000106	0.001057	73.064000	64.970000	
0.000103	0.000950	73.640000	67.710000	
0.000100	0.000939	74.340000	68.800000	
0.000094	0.000859	76.000000	71.020000	
0.000091	0.000908	76.566000	70.130000	
0.000090	0.000877	77.318000	70.870000	
0.000089	0.000851	77.374000	71.870000	
0.000086	0.000827	78.166000	72.550000	
0.000084	0.000801	78.518000	73.050000	
0.000082	0.000757	79.360000	74.310000	
0.000078	0.000879	80.038000	71.540000	
0.000079	0.000837	80.072000	72.060000	
0.000075	0.000744	80.780000	75.300000	
0.000071	0.000860	81.980000	72.290000	
0.000070	0.001052	82.144000	67.930000	
0.000070	0.000784	82.580000	74.800000	
0.000068	0.001013	82.668000	69.360000	
0.000069	0.000710	82.788000	76.790000	
0.000064	0.000709	83.748000	76.640000	
0.000063	0.000788	83.908000	74.620000	
0.000057	0.000650	85.152000	78.710000	
0.000056	0.000617	85.824000	79.690000	
0.000053	0.000615	86.166000	80.210000	
0.000052	0.000640	86.778000	79.340000	
0.000055	0.000695	86.446000	78.430000	
0.000054	0.000683	86.040000	78.820000	
0.000052	0.000696	87.036000	77.710000	
0.000049	0.000693	87.632000	78.010000	
0.000048	0.000635	87.598000	79.680000	
0.000047	0.000631	88.110000	80.990000	
0.000045	0.000675	88.588000	79.200000	
0.000045	0.000793	88.444000	76.170000	
0.000045	0.000637	88.634000	81.090000	
0.000043	0.000621	89.092000	80.850000	
0.000040	0.000640	89.878000	80.400000	
0.000040	0.000607	89.630000	81.260000	
0.000040	0.000658	89.776000	80.080000	
0.000038	0.000533	90.584000	83.440000	
0.000037	0.000542	90.486000	82.930000	
0.000036	0.000553	90.922000	83.230000	
0.000035	0.000693	91.324000	79.650000	
0.000034	0.000625	91.352000	81.800000	
0.000033	0.000587	91.614000	82.650000	
0.000033	0.000689	91.962000	80.740000	
0.000031	0.000635	92.150000	81.960000	
0.000032	0.000605	92.174000	82.560000	
0.000032	0.000563	91.996000	84.010000	
0.000031	0.000597	92.086000	83.140000	
0.000029	0.000569	92.574000	84.230000	
0.000026	0.000435	93.438000	87.110000	
0.000022	0.000418	94.698000	87.260000	
0.000020	0.000398	95.034000	87.720000	
0.000019	0.000392	95.624000	88.000000	
0.000018	0.000389	95.660000	87.970000	
0.000017	0.000390	95.900000	87.940000	
0.000016	0.000395	95.962000	88.140000	
0.000017	0.000394	96.168000	88.210000	
0.000016	0.000395	96.264000	88.110000	
0.000016	0.000399	96.264000	88.130000	
0.000016	0.000399	96.326000	88.300000	
0.000015	0.000398	96.390000	88.380000	
0.000015	0.000405	96.438000	88.230000	
0.000015	0.000407	96.626000	88.230000	
0.000015	0.000406	96.598000	88.250000	
0.000015	0.000409	96.668000	88.360000	
0.000014	0.000405	96.670000	88.460000	
0.000014	0.000406	96.810000	88.410000	
0.000014	0.000411	96.850000	88.310000	
0.000013	0.000412	96.838000	88.480000	
0.000013	0.000409	96.894000	88.590000	
0.000014	0.000408	96.908000	88.370000	
0.000013	0.000410	96.944000	88.400000	
0.000013	0.000412	97.024000	88.390000	
0.000012	0.000414	97.176000	88.220000	
0.000012	0.000419	97.278000	88.160000	
0.000012	0.000420	97.252000	88.250000	
0.000012	0.000418	97.236000	88.420000	
0.000012	0.000421	97.334000	88.480000	
0.000012	0.000427	97.230000	88.250000	
0.000012	0.000428	97.276000	88.100000	
0.000011	0.000425	97.382000	88.610000	
0.000011	0.000425	97.460000	88.310000	
0.000011	0.000427	97.488000	88.160000	
0.000011	0.000429	97.504000	88.290000	
0.000011	0.000424	97.508000	88.440000	
0.000011	0.000437	97.668000	88.250000	
0.000010	0.000430	97.650000	88.450000	
0.000011	0.000431	97.656000	88.490000	
0.000010	0.000437	97.690000	88.250000	
0.000010	0.000432	97.814000	88.420000	
0.000010	0.000431	97.876000	88.420000	
0.000010	0.000431	97.858000	88.480000	
0.000010	0.000431	97.822000	88.420000	
0.000009	0.000431	97.908000	88.450000	
0.000010	0.000431	97.952000	88.510000	
0.000010	0.000430	97.852000	88.510000	
0.000010	0.000430	97.936000	88.550000	
0.000009	0.000429	97.954000	88.520000	
0.000009	0.000430	97.954000	88.520000	
0.000010	0.000431	97.932000	88.560000	
0.000010	0.000431	97.918000	88.530000	
0.000010	0.000430	98.014000	88.540000	
0.000009	0.000432	98.058000	88.490000	
0.000009	0.000430	98.028000	88.530000	
0.000010	0.000430	97.924000	88.510000	
0.000010	0.000430	98.042000	88.550000	
0.000009	0.000431	97.906000	88.550000	
0.000010	0.000431	97.978000	88.470000	
0.000009	0.000431	98.028000	88.510000	
0.000009	0.000431	98.078000	88.560000	
0.000010	0.000430	97.972000	88.590000	
0.000010	0.000431	98.018000	88.460000	
0.000009	0.000431	98.104000	88.460000	
0.000009	0.000430	98.052000	88.560000	
0.000009	0.000430	97.994000	88.530000	
0.000009	0.000431	97.992000	88.490000	
0.000009	0.000431	98.074000	88.490000	
0.000009	0.000431	98.042000	88.550000	
0.000009	0.000431	97.942000	88.570000	
