Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.001266	0.019060	16.250000	9.830000	9.075135	0.000100	
0.000981	0.001876	25.716000	28.510000	1.732605	0.000100	
0.000884	0.001691	32.222000	36.220000	2.506393	0.000100	
0.000823	0.001633	37.824000	38.250000	3.162602	0.000100	
0.000774	0.001504	42.208000	43.510000	3.156300	0.000100	
0.000737	0.001465	45.326000	46.000000	3.318184	0.000100	
0.000711	0.001523	47.704000	44.450000	3.533284	0.000100	
0.000675	0.001506	50.688000	46.190000	3.652223	0.000100	
0.000640	0.001367	53.494000	51.320000	3.896016	0.000100	
0.000612	0.001460	55.570000	49.100000	4.352143	0.000100	
0.000562	0.001191	59.516000	57.520000	4.074467	0.000100	
0.000520	0.001186	62.956000	58.530000	4.090707	0.000100	
0.000513	0.001100	63.268000	61.030000	4.283164	0.000100	
0.000464	0.001053	66.980000	63.170000	3.852723	0.000100	
0.000430	0.000961	69.612000	65.650000	3.718897	0.000100	
0.000418	0.001025	70.400000	64.960000	3.872531	0.000100	
0.000385	0.000852	72.628000	70.140000	3.604368	0.000100	
0.000369	0.000882	73.828000	68.820000	3.801892	0.000100	
0.000345	0.000852	75.680000	70.470000	3.542527	0.000100	
0.000332	0.000751	76.514000	74.440000	3.747322	0.000100	
0.000314	0.000818	77.732000	73.230000	3.652411	0.000100	
0.000297	0.000711	79.168000	75.320000	3.692202	0.000100	
0.000278	0.000720	80.358000	76.240000	3.539668	0.000100	
0.000263	0.000769	81.360000	74.480000	3.620680	0.000100	
0.000250	0.000712	82.286000	76.780000	3.568690	0.000100	
0.000238	0.000651	83.198000	78.470000	3.495523	0.000100	
0.000229	0.000651	83.954000	79.250000	3.482470	0.000100	
0.000213	0.000586	85.106000	80.880000	3.313156	0.000100	
0.000200	0.000630	85.956000	79.490000	3.268397	0.000100	
0.000187	0.000704	86.864000	78.700000	3.168819	0.000100	
0.000183	0.000533	87.070000	82.770000	3.350577	0.000100	
0.000174	0.000548	87.812000	82.410000	3.278356	0.000100	
0.000163	0.000516	88.414000	83.650000	3.204716	0.000100	
0.000161	0.000476	88.514000	84.280000	3.281739	0.000100	
0.000148	0.000534	89.524000	83.240000	3.083588	0.000100	
0.000142	0.000528	89.930000	83.670000	3.203947	0.000100	
0.000136	0.000568	90.566000	83.260000	3.122101	0.000100	
0.000128	0.000683	91.004000	80.680000	3.094650	0.000100	
0.000130	0.000559	90.902000	83.090000	3.236104	0.000100	
0.000115	0.000618	91.888000	82.380000	2.914797	0.000100	
0.000114	0.000530	91.912000	85.140000	3.102085	0.000100	
0.000107	0.000522	92.398000	84.690000	2.875149	0.000100	
0.000099	0.000589	92.878000	83.430000	2.840802	0.000100	
0.000095	0.000484	93.292000	85.500000	2.924334	0.000100	
0.000091	0.000463	93.518000	86.450000	2.948718	0.000100	
0.000088	0.000540	93.640000	84.740000	3.020667	0.000100	
0.000081	0.000501	94.276000	86.290000	2.802014	0.000100	
0.000081	0.000492	94.064000	86.660000	2.952580	0.000100	
0.000078	0.000462	94.480000	86.760000	2.906814	0.000100	
0.000073	0.000483	94.774000	86.470000	2.845471	0.000100	
0.000068	0.000521	95.192000	86.200000	2.679023	0.000100	
0.000062	0.000537	95.562000	85.490000	2.619956	0.000100	
0.000059	0.000489	95.858000	87.460000	2.726852	0.000100	
0.000059	0.000658	95.832000	84.070000	2.737552	0.000100	
0.000058	0.000517	95.744000	86.800000	2.787954	0.000100	
0.000055	0.000551	95.998000	86.400000	2.773597	0.000100	
0.000053	0.000527	96.110000	87.010000	2.643558	0.000100	
0.000051	0.000590	96.390000	85.670000	2.693954	0.000100	
0.000048	0.000615	96.556000	85.730000	2.609102	0.000100	
0.000046	0.000549	96.762000	87.030000	2.659471	0.000100	
0.000041	0.000549	97.034000	87.150000	2.401649	0.000100	
0.000039	0.000517	97.196000	88.010000	2.414824	0.000100	
0.000039	0.000548	97.238000	87.760000	2.516170	0.000100	
0.000039	0.000563	97.234000	86.960000	2.517916	0.000100	
0.000036	0.000522	97.482000	88.140000	2.358966	0.000100	
0.000034	0.000585	97.524000	87.170000	2.329391	0.000100	
