Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.000300	0.002313	19.492000	10.000000	6.956393	0.000001	
0.000258	0.002468	29.622000	10.000000	10.829035	0.000001	
0.000229	0.002814	38.340000	13.660000	7.067830	0.000001	
0.000213	0.002926	43.420000	16.260000	8.797455	0.000001	
0.000196	0.001983	47.812000	32.160000	8.834446	0.000001	
0.000191	0.002114	50.040000	28.180000	11.947719	0.000001	
0.000179	0.001388	53.498000	50.290000	8.836800	0.000001	
0.000162	0.001379	58.188000	51.430000	8.191270	0.000001	
0.000150	0.001375	61.574000	53.590000	8.666937	0.000001	
0.000142	0.001127	63.316000	59.930000	8.786664	0.000001	
0.000133	0.001131	66.100000	61.480000	9.026556	0.000001	
0.000125	0.001657	68.096000	49.970000	7.868037	0.000001	
0.000118	0.001076	69.728000	62.180000	8.041822	0.000001	
0.000110	0.000924	72.316000	68.210000	7.277376	0.000001	
0.000103	0.000976	74.172000	66.110000	7.544880	0.000001	
0.000096	0.000978	75.462000	67.430000	7.852821	0.000001	
0.000094	0.000965	76.538000	67.880000	8.775110	0.000001	
0.000091	0.001064	76.748000	65.200000	9.171349	0.000001	
0.000088	0.001074	78.260000	66.090000	8.133956	0.000001	
0.000083	0.000933	78.920000	68.710000	8.107128	0.000001	
0.000080	0.000807	80.182000	71.910000	7.512095	0.000001	
0.000074	0.001049	81.416000	66.140000	7.007277	0.000001	
0.000071	0.000766	82.376000	74.090000	7.276864	0.000001	
0.000069	0.000915	82.630000	72.330000	7.366522	0.000001	
0.000066	0.000850	83.192000	73.770000	7.678772	0.000001	
0.000065	0.000788	83.756000	74.370000	7.510148	0.000001	
0.000063	0.000791	84.558000	75.090000	7.056622	0.000001	
0.000060	0.000730	85.094000	76.630000	6.901112	0.000001	
0.000058	0.000668	85.560000	78.240000	6.962539	0.000001	
0.000057	0.000588	85.928000	81.210000	7.120551	0.000001	
0.000054	0.000779	86.264000	75.780000	6.704237	0.000001	
0.000054	0.000609	86.762000	80.080000	6.986477	0.000001	
0.000053	0.000627	86.958000	80.300000	7.134914	0.000001	
0.000052	0.000631	87.166000	79.280000	6.898820	0.000001	
0.000049	0.000615	87.826000	79.810000	6.517564	0.000001	
0.000046	0.000681	88.516000	78.990000	6.295756	0.000001	
0.000046	0.000613	88.708000	80.350000	6.462362	0.000001	
0.000045	0.000549	88.798000	82.840000	7.193628	0.000001	
0.000045	0.000692	88.922000	79.390000	6.686910	0.000001	
0.000042	0.000500	89.474000	83.770000	6.161978	0.000001	
0.000042	0.000518	89.704000	83.430000	6.426358	0.000001	
0.000041	0.000620	90.034000	80.950000	6.433852	0.000001	
0.000040	0.000550	90.056000	83.260000	6.161854	0.000001	
0.000038	0.000507	90.712000	83.770000	5.849505	0.000001	
0.000037	0.000687	90.656000	80.050000	6.078030	0.000001	
0.000037	0.000639	90.902000	80.490000	6.245169	0.000001	
0.000036	0.000637	91.244000	81.510000	6.225925	0.000001	
0.000035	0.000614	91.422000	81.130000	6.197416	0.000001	
0.000036	0.000500	91.150000	83.990000	6.830471	0.000001	
0.000034	0.000877	91.458000	76.680000	6.533372	0.000001	
0.000032	0.000558	91.842000	83.210000	6.204848	0.000001	
0.000030	0.000535	92.280000	83.850000	5.647172	0.000001	
0.000030	0.000480	92.692000	85.760000	5.788213	0.000001	
0.000031	0.000529	92.424000	84.230000	6.168157	0.000001	
0.000030	0.000481	92.460000	85.290000	5.878938	0.000001	
0.000029	0.000436	92.850000	86.530000	5.819720	0.000001	
0.000028	0.000677	93.068000	80.740000	5.710627	0.000001	
0.000027	0.000431	93.276000	86.490000	5.952050	0.000001	
0.000028	0.000456	93.116000	86.270000	6.045618	0.000001	
0.000026	0.000625	93.520000	81.630000	5.615442	0.000001	
0.000025	0.000466	93.896000	85.930000	5.401935	0.000001	
0.000024	0.000487	93.884000	85.490000	5.561505	0.000001	
0.000024	0.000500	94.050000	85.030000	5.463974	0.000001	
0.000023	0.000513	94.366000	85.490000	5.587971	0.000001	
0.000023	0.000485	94.304000	85.550000	5.817529	0.000001	
0.000022	0.000532	94.488000	84.820000	5.646351	0.000001	
0.000022	0.000478	94.522000	86.820000	5.817803	0.000001	
0.000022	0.000528	94.602000	85.130000	5.655033	0.000001	
0.000021	0.000606	94.950000	84.130000	5.700632	0.000001	
0.000020	0.000526	94.848000	85.350000	5.655915	0.000001	
0.000021	0.000483	94.870000	86.200000	5.802020	0.000001	
0.000020	0.000704	95.034000	81.350000	5.628476	0.000001	
0.000019	0.000494	95.342000	86.470000	5.270176	0.000001	
0.000019	0.000589	95.400000	84.360000	5.198405	0.000001	
0.000019	0.000562	95.496000	85.030000	5.459321	0.000001	
0.000018	0.000450	95.584000	87.240000	5.280405	0.000001	
0.000018	0.000582	95.668000	84.010000	5.474698	0.000001	
0.000018	0.000555	95.566000	85.460000	5.669648	0.000001	
0.000017	0.000564	95.752000	84.590000	5.270298	0.000001	
0.000016	0.000595	95.958000	84.440000	5.335889	0.000001	
0.000015	0.000390	96.376000	89.140000	5.076313	0.000000	
0.000011	0.000388	97.330000	88.940000	3.451347	0.000000	
0.000011	0.000357	97.602000	89.670000	3.370971	0.000000	
0.000010	0.000344	97.788000	90.070000	3.059397	0.000000	
0.000009	0.000343	97.934000	90.200000	2.837323	0.000000	
0.000009	0.000344	97.992000	90.140000	2.908653	0.000000	
0.000008	0.000343	98.108000	90.240000	2.641302	0.000000	
0.000009	0.000342	98.194000	90.310000	2.833807	0.000000	
0.000008	0.000341	98.232000	90.300000	2.719156	0.000000	
0.000008	0.000342	98.220000	90.130000	2.903218	0.000000	
0.000008	0.000345	98.378000	90.120000	2.837849	0.000000	
0.000008	0.000346	98.342000	90.160000	2.917212	0.000000	
0.000008	0.000348	98.392000	90.110000	2.839659	0.000000	
0.000008	0.000345	98.382000	90.300000	2.810576	0.000000	
0.000007	0.000346	98.458000	90.310000	2.812463	0.000000	
0.000007	0.000347	98.462000	90.260000	2.743651	0.000000	
0.000007	0.000346	98.452000	90.130000	2.669527	0.000000	
0.000007	0.000343	98.524000	90.310000	2.576379	0.000000	
0.000007	0.000342	98.518000	90.200000	2.702374	0.000000	
0.000007	0.000345	98.648000	90.190000	2.516465	0.000000	
0.000007	0.000348	98.510000	90.040000	2.574789	0.000000	
0.000007	0.000348	98.586000	90.190000	2.650530	0.000000	
0.000007	0.000350	98.580000	90.280000	2.729223	0.000000	
0.000007	0.000355	98.644000	90.290000	2.808989	0.000000	
0.000007	0.000357	98.652000	90.220000	2.935358	0.000000	
0.000007	0.000356	98.688000	90.180000	2.662500	0.000000	
0.000007	0.000352	98.678000	90.280000	2.750114	0.000000	
0.000006	0.000355	98.728000	90.290000	2.788875	0.000000	
0.000007	0.000352	98.698000	90.350000	2.922184	0.000000	
0.000006	0.000358	98.712000	90.220000	2.857191	0.000000	
0.000006	0.000359	98.812000	90.080000	2.632961	0.000000	
0.000006	0.000354	98.800000	90.430000	2.636538	0.000000	
0.000006	0.000354	98.876000	90.450000	2.573359	0.000000	
0.000006	0.000356	98.774000	90.330000	2.769764	0.000000	
0.000006	0.000357	98.844000	90.220000	2.912236	0.000000	
0.000006	0.000356	98.896000	90.190000	2.893587	0.000000	
0.000006	0.000357	98.824000	90.260000	2.929550	0.000000	
0.000006	0.000370	98.906000	90.150000	2.711123	0.000000	
0.000006	0.000360	98.882000	90.330000	2.931909	0.000000	
0.000006	0.000358	98.914000	90.400000	2.758349	0.000000	
0.000005	0.000358	98.960000	90.430000	2.531170	0.000000	
0.000006	0.000357	98.952000	90.430000	2.738656	0.000000	
0.000005	0.000357	98.982000	90.310000	2.521679	0.000000	
0.000006	0.000356	99.070000	90.330000	2.642483	0.000000	
0.000005	0.000356	99.016000	90.350000	2.501263	0.000000	
0.000005	0.000355	99.010000	90.320000	2.455085	0.000000	
0.000006	0.000355	98.992000	90.360000	2.668834	0.000000	
0.000005	0.000356	99.036000	90.400000	2.554277	0.000000	
0.000005	0.000354	99.026000	90.350000	2.316289	0.000000	
0.000005	0.000355	99.028000	90.410000	2.477954	0.000000	
0.000005	0.000355	99.054000	90.420000	2.647336	0.000000	
0.000005	0.000356	99.036000	90.400000	2.415623	0.000000	
0.000005	0.000355	98.982000	90.310000	2.454767	0.000000	
0.000005	0.000356	99.018000	90.250000	2.531324	0.000000	
0.000005	0.000354	99.034000	90.390000	2.558647	0.000000	
0.000005	0.000354	99.052000	90.410000	2.411464	0.000000	
0.000005	0.000354	99.028000	90.400000	2.531620	0.000000	
0.000005	0.000354	99.080000	90.320000	2.477401	0.000000	
0.000005	0.000354	99.066000	90.410000	2.452376	0.000000	
0.000005	0.000355	99.066000	90.390000	2.568838	0.000000	
0.000005	0.000355	99.060000	90.420000	2.429933	0.000000	
0.000005	0.000355	99.044000	90.380000	2.353273	0.000000	
0.000005	0.000356	99.074000	90.360000	2.531001	0.000000	
0.000005	0.000355	99.066000	90.440000	2.340457	0.000000	
0.000005	0.000354	99.024000	90.450000	2.392670	0.000000	
0.000005	0.000355	99.114000	90.400000	2.534564	0.000000	
0.000005	0.000355	99.120000	90.440000	2.497279	0.000000	
0.000005	0.000354	99.126000	90.490000	2.284855	0.000000	
0.000005	0.000354	99.094000	90.400000	2.397435	0.000000	
0.000005	0.000354	99.104000	90.500000	2.324100	0.000000	
