Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.923441	2.262600	17.334999	2.263416	18.000000	486.231803	
0.100000	1.740142	2.196651	43.313332	2.196153	43.279999	977.800703	
0.100000	1.601972	2.119569	57.298332	2.117781	58.160000	1478.866532	
0.100000	1.495657	2.037476	65.438332	2.034760	66.230003	1972.303564	
0.100000	1.399086	1.948203	69.785004	1.944270	70.750000	2488.679521	
0.100000	1.337835	1.855304	72.861664	1.850194	73.860001	3036.660622	
0.100000	1.291235	1.761239	75.511665	1.754787	76.419998	3528.201640	
0.100000	1.232815	1.666359	77.481667	1.658494	78.620003	4051.393372	
0.100000	1.187872	1.565180	79.184998	1.555949	80.440002	4622.720472	
0.100000	1.140408	1.458540	81.011665	1.447783	82.199997	5201.887039	
