Learning Rate	Momentum	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Inner Prod. Loss Sum	Inner Prod. Loss Mean	Inner Prod. Loss Std	
0.001000	0.000000	625.985968	149.531543	40.434000	48.480000	-747723776.000000	-1912337.000000	835647.625000	
0.001000	0.000000	419.096997	101.075827	61.550000	65.040000	-1299633344.000000	-1411533.375000	626552.000000	
0.001000	0.000000	324.567807	91.727860	70.596000	68.810000	-1709864064.000000	-1049183.375000	584580.500000	
0.001000	0.000000	266.048192	111.904425	76.156000	69.100000	-2062125984.000000	-900925.625000	504711.031250	
0.001000	0.000000	230.744755	76.481808	79.572000	75.720000	-2356736224.000000	-753478.875000	554831.687500	
0.001000	0.000000	206.592490	66.866650	81.738000	78.390000	-2625058176.000000	-686245.375000	470354.750000	
0.001000	0.000000	188.612108	63.752753	83.526000	79.690000	-2876321808.000000	-642618.000000	509132.281250	
0.001000	0.000000	171.780739	53.482322	84.820000	83.080000	-3113172240.000000	-605755.562500	490822.062500	
0.001000	0.000000	159.057784	59.543891	86.048000	81.080000	-3339039632.000000	-577665.937500	496437.281250	
0.001000	0.000000	148.041403	53.103056	86.998000	83.340000	-3529683680.000000	-487580.687500	462911.218750	
0.001000	0.000000	138.317852	45.793479	88.048000	85.530000	-3723131648.000000	-494751.843750	471440.250000	
0.001000	0.000000	130.513949	54.241835	88.440000	83.950000	-3916972864.000000	-495757.593750	489271.843750	
0.001000	0.000000	123.479817	51.434500	89.050000	85.210000	-4081451104.000000	-420660.468750	475501.781250	
0.001000	0.000000	115.584385	43.750178	89.874000	87.420000	-4239050960.000000	-403068.687500	471025.125000	
0.001000	0.000000	109.291567	53.851509	90.424000	84.790000	-4404539872.000000	-423245.312500	471928.687500	
0.001000	0.000000	104.060709	50.221368	90.840000	84.980000	-4565652160.000000	-412051.875000	477850.125000	
0.001000	0.000000	99.162971	48.195601	91.256000	87.180000	-4722520032.000000	-401196.593750	457148.125000	
0.001000	0.000000	93.761465	51.417286	91.710000	85.840000	-4866723312.000000	-368806.343750	502146.250000	
0.001000	0.000000	89.388181	42.185544	92.230000	87.900000	-5009889408.000000	-366153.687500	471644.718750	
0.001000	0.000000	87.414335	46.267562	92.458000	86.880000	-5155634640.000000	-372749.968750	444580.562500	
0.001000	0.000000	82.990612	58.075522	92.812000	85.810000	-5306947536.000000	-386989.500000	465851.718750	
0.001000	0.000000	80.287012	46.026544	93.022000	88.140000	-5431153728.000000	-317662.906250	456595.812500	
0.001000	0.000000	76.733492	67.177788	93.156000	85.350000	-5554006984.000000	-314202.687500	458373.156250	
0.001000	0.000000	74.001933	44.621294	93.532000	88.480000	-5700216712.000000	-373937.937500	462260.406250	
0.001000	0.000000	68.487423	46.208101	93.990000	88.260000	-5817078840.000000	-298880.125000	428889.500000	
0.001000	0.000000	66.622751	54.348144	94.100000	86.330000	-5947730312.000000	-334147.000000	431357.031250	
0.001000	0.000000	64.592013	48.463595	94.288000	87.590000	-6067007328.000000	-305056.312500	461504.312500	
0.001000	0.000000	62.748199	46.929798	94.584000	88.880000	-6171486656.000000	-267210.562500	479312.656250	
0.001000	0.000000	62.077645	46.549534	94.590000	89.490000	-6280656352.000000	-279206.375000	461356.968750	
0.001000	0.000000	59.073995	49.447620	94.802000	88.630000	-6398027104.000000	-300180.937500	446558.531250	
0.001000	0.000000	57.922755	42.070871	94.968000	90.470000	-6496610432.000000	-252131.281250	454409.125000	
0.001000	0.000000	54.252617	60.336790	95.258000	87.930000	-6609091616.000000	-287675.656250	466753.656250	
0.001000	0.000000	52.459070	57.295954	95.470000	88.560000	-6716153184.000000	-273814.750000	444201.968750	
0.001000	0.000000	52.288435	57.412206	95.522000	88.530000	-6817561328.000000	-259355.859375	425903.906250	
0.001000	0.000000	53.192392	53.775690	95.452000	88.420000	-6916751712.000000	-253683.843750	438351.156250	
0.001000	0.000000	48.980811	42.211600	95.732000	90.200000	-7011102544.000000	-241306.468750	416860.156250	
0.001000	0.000000	47.458164	51.300468	95.936000	89.190000	-7115932688.000000	-268107.781250	411191.812500	
0.001000	0.000000	47.084324	48.078930	96.006000	89.900000	-7227082296.000000	-284270.093750	431654.968750	
0.001000	0.000000	44.426832	48.642717	96.150000	89.850000	-7316405856.000000	-228449.000000	433709.718750	
0.001000	0.000000	46.583184	53.054872	96.054000	89.790000	-7413984896.000000	-249562.765625	427494.406250	
0.001000	0.000000	44.263297	48.938994	96.180000	89.360000	-7511271696.000000	-248815.343750	434643.343750	
0.001000	0.000000	42.262186	48.470601	96.314000	90.450000	-7599248856.000000	-225005.531250	398461.218750	
0.001000	0.000000	40.874244	44.280911	96.584000	90.370000	-7685585640.000000	-220810.187500	463097.468750	
0.001000	0.000000	40.602622	55.859154	96.564000	89.230000	-7764947288.000000	-202970.968750	382556.593750	
0.001000	0.000000	39.973739	52.844307	96.560000	89.880000	-7861883256.000000	-247918.078125	428324.687500	
0.001000	0.000000	40.344248	45.945909	96.616000	90.560000	-7940571296.000000	-201248.187500	391006.406250	
0.001000	0.000000	37.866279	50.908464	96.902000	90.400000	-8035125744.000000	-241827.234375	433930.906250	
0.001000	0.000000	37.964510	60.357416	96.728000	89.590000	-8120137584.000000	-217421.578125	447709.406250	
0.001000	0.000000	34.774446	89.448493	97.004000	87.010000	-8206926192.000000	-221965.750000	478309.218750	
0.001000	0.000000	36.101675	66.082124	96.958000	89.530000	-8288656440.000000	-209028.765625	395978.468750	
0.001000	0.000000	36.607263	68.742533	96.934000	89.470000	-8368316856.000000	-203735.078125	453403.062500	
0.001000	0.000000	34.716004	55.585605	97.092000	90.350000	-8457542872.000000	-228199.531250	421493.500000	
0.001000	0.000000	35.640159	56.050914	97.086000	90.450000	-8541770056.000000	-215414.796875	447447.187500	
0.001000	0.000000	35.355956	56.899534	97.144000	90.570000	-8637153848.000000	-243948.312500	429881.625000	
0.001000	0.000000	34.297712	46.624477	97.184000	90.800000	-8719098584.000000	-209577.328125	447876.000000	
0.001000	0.000000	32.025814	59.930551	97.356000	90.050000	-8791445288.000000	-185029.937500	404706.031250	
0.001000	0.000000	33.426547	95.833072	97.268000	89.140000	-8874695640.000000	-212916.500000	404008.062500	
0.001000	0.000000	35.057196	63.165244	97.276000	90.650000	-8948639968.000000	-189115.921875	416518.625000	
0.001000	0.000000	31.874590	57.725005	97.380000	90.550000	-9024347440.000000	-193625.250000	422505.406250	
0.001000	0.000000	33.027929	65.362476	97.364000	90.480000	-9109327336.000000	-217339.890625	451083.781250	
0.001000	0.000000	33.251942	76.849476	97.454000	89.400000	-9187204616.000000	-199174.625000	438345.468750	
0.001000	0.000000	32.136486	53.677176	97.476000	90.880000	-9279916048.000000	-237113.640625	402166.250000	
0.001000	0.000000	30.393596	65.062272	97.518000	90.170000	-9359153312.000000	-202652.843750	439680.406250	
0.001000	0.000000	32.869807	70.517114	97.450000	90.530000	-9437640904.000000	-200735.531250	394587.718750	
0.001000	0.000000	31.541069	48.708325	97.504000	91.140000	-9510551992.000000	-186473.375000	401814.687500	
0.001000	0.000000	30.981198	47.985450	97.540000	91.270000	-9581200712.000000	-180687.265625	440370.406250	
0.001000	0.000000	29.079851	64.539828	97.750000	90.900000	-9649519320.000000	-174727.890625	409514.718750	
0.001000	0.000000	32.177647	63.659629	97.494000	90.920000	-9727231200.000000	-198751.609375	454521.312500	
0.001000	0.000000	29.958653	58.470011	97.608000	90.490000	-9811079272.000000	-214445.203125	418763.156250	
0.001000	0.000000	30.776122	63.354555	97.616000	91.020000	-9880015104.000000	-176306.468750	416507.093750	
0.001000	0.000000	30.140204	119.772762	97.686000	88.100000	-9959848688.000000	-204177.968750	440960.468750	
0.001000	0.000000	28.805903	80.147094	97.766000	90.120000	-10028999696.000000	-176856.796875	391468.718750	
0.001000	0.000000	29.499767	62.841483	97.802000	90.670000	-10108695736.000000	-203826.187500	431375.750000	
0.001000	0.000000	30.173895	76.656193	97.740000	90.010000	-10163145308.000000	-139257.218750	439699.031250	
0.001000	0.000000	29.983101	64.739151	97.802000	90.350000	-10228423404.000000	-166951.656250	421319.687500	
0.001000	0.000000	29.664414	83.232424	97.792000	90.170000	-10296803724.000000	-174885.734375	433763.656250	
0.001000	0.000000	28.245105	85.049229	97.878000	89.530000	-10371449764.000000	-190910.593750	414744.656250	
0.001000	0.000000	28.486793	110.351686	97.850000	88.020000	-10441637372.000000	-179507.953125	448982.625000	
0.001000	0.000000	29.059993	74.737700	97.850000	89.930000	-10499554108.000000	-148124.640625	442430.531250	
