Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000077	2.282529	9.793333	11.270000	
0.000075	2.013003	14.001667	36.540000	
0.000064	1.496591	39.386667	59.690000	
0.000048	2.029069	59.706667	43.700000	
0.000086	3.731510	44.353333	44.680000	
0.000096	1.914626	43.871667	51.190000	
0.000062	1.592101	51.541667	56.890000	
0.000049	1.068292	58.536667	73.700000	
0.000032	0.659667	74.958333	82.460000	
0.000021	0.479970	82.563333	86.110000	
0.000016	0.400882	85.753333	88.130000	
0.000014	0.400134	87.378333	86.630000	
0.000015	0.648590	84.955000	82.310000	
0.000017	0.309024	83.288333	90.640000	
0.000011	0.273930	89.700000	92.190000	
