Train Loss	Valid Loss	Train Acc.	Valid Acc.	Grad Norm	Noise Record	
0.001052	0.002456	23.632000	24.990000	6.903864	0.000003	
0.000851	0.001620	36.048000	40.030000	3.905131	0.000001	
0.000755	0.001436	43.808000	46.870000	4.157849	0.000001	
0.000682	0.001509	49.702000	45.640000	4.926639	0.000001	
0.000618	0.001453	54.978000	50.760000	5.153814	0.000001	
0.000552	0.001244	59.948000	55.550000	5.517017	0.000001	
0.000500	0.001331	64.348000	56.470000	5.215982	0.000001	
0.000445	0.000985	68.290000	65.950000	4.762155	0.000001	
0.000403	0.000913	71.382000	68.080000	4.924969	0.000001	
0.000377	0.000862	73.150000	70.480000	4.917098	0.000000	
0.000345	0.000880	75.580000	70.460000	4.412553	0.000000	
0.000321	0.000817	77.298000	72.440000	4.445097	0.000000	
0.000288	0.000714	79.620000	76.220000	4.142512	0.000000	
0.000266	0.000653	81.524000	78.260000	4.216849	0.000000	
0.000244	0.000645	82.804000	78.570000	3.934791	0.000000	
0.000230	0.000612	83.918000	79.610000	4.013562	0.000000	
0.000218	0.000689	84.762000	78.470000	4.078510	0.000000	
0.000201	0.000544	85.922000	82.270000	3.917515	0.000000	
0.000189	0.000552	86.702000	81.850000	3.847464	0.000000	
0.000177	0.000566	87.494000	82.110000	3.769821	0.000000	
0.000164	0.000548	88.402000	82.680000	3.797062	0.000000	
0.000156	0.000524	88.894000	83.160000	3.775114	0.000000	
0.000147	0.000736	89.778000	78.530000	3.564603	0.000000	
0.000145	0.000482	89.784000	85.060000	3.926283	0.000000	
0.000136	0.000528	90.332000	83.130000	3.828544	0.000000	
0.000125	0.000524	91.238000	83.740000	3.550477	0.000000	
0.000120	0.000531	91.622000	84.360000	3.615171	0.000000	
0.000114	0.000523	91.918000	84.660000	3.537621	0.000000	
0.000105	0.000546	92.604000	83.710000	3.521093	0.000000	
0.000097	0.000481	93.158000	85.780000	3.426080	0.000000	
0.000098	0.000597	93.000000	84.090000	3.728500	0.000000	
0.000092	0.000503	93.466000	86.080000	3.422681	0.000000	
0.000083	0.000505	94.138000	85.720000	3.276775	0.000000	
0.000081	0.000489	94.288000	86.190000	3.355896	0.000000	
0.000075	0.000538	94.696000	85.800000	3.297196	0.000000	
0.000071	0.000495	94.888000	86.660000	3.310070	0.000000	
0.000071	0.000478	94.964000	86.740000	3.339786	0.000000	
0.000064	0.000595	95.424000	85.380000	3.191543	0.000000	
0.000061	0.000410	95.610000	88.490000	3.213569	0.000000	
0.000056	0.000488	95.948000	86.690000	3.079253	0.000000	
0.000054	0.000480	96.126000	87.760000	3.260684	0.000000	
0.000057	0.000548	95.922000	86.550000	3.409084	0.000000	
0.000055	0.000550	96.038000	86.480000	3.225378	0.000000	
0.000050	0.000471	96.546000	88.030000	3.002058	0.000000	
0.000045	0.000443	96.780000	88.270000	2.905247	0.000000	
0.000045	0.000447	96.754000	87.930000	3.020344	0.000000	
0.000040	0.000456	97.250000	88.190000	2.742527	0.000000	
0.000036	0.000477	97.470000	88.170000	2.680571	0.000000	
0.000035	0.000473	97.424000	88.670000	2.779981	0.000000	
0.000034	0.000505	97.484000	88.130000	2.820364	0.000000	
0.000033	0.000541	97.642000	87.220000	2.786335	0.000000	
0.000032	0.000488	97.674000	88.870000	2.774195	0.000000	
0.000031	0.000502	97.814000	88.260000	2.745840	0.000000	
0.000029	0.000557	97.992000	87.460000	2.604573	0.000000	
0.000029	0.000480	97.884000	89.110000	2.788556	0.000000	
0.000029	0.000524	97.924000	88.540000	2.768971	0.000000	
0.000027	0.000484	98.042000	89.010000	2.559479	0.000000	
0.000023	0.000472	98.394000	89.300000	2.386231	0.000000	
0.000021	0.000518	98.548000	88.950000	2.340487	0.000000	
0.000024	0.000501	98.392000	89.200000	2.542223	0.000000	
0.000025	0.000636	98.200000	87.990000	2.678695	0.000000	
0.000024	0.000615	98.286000	87.810000	2.494097	0.000000	
0.000021	0.000531	98.516000	88.790000	2.317605	0.000000	
0.000020	0.000576	98.600000	88.610000	2.398589	0.000000	
0.000020	0.000524	98.572000	89.030000	2.342177	0.000000	
0.000018	0.000595	98.728000	88.310000	2.257608	0.000000	
0.000018	0.000523	98.788000	89.320000	2.296041	0.000000	
0.000017	0.000589	98.804000	88.510000	2.243213	0.000000	
0.000015	0.000607	98.992000	88.310000	2.052336	0.000000	
0.000015	0.000557	98.984000	89.210000	2.076530	0.000000	
0.000016	0.000644	98.910000	88.130000	2.202832	0.000000	
0.000015	0.000527	98.994000	89.490000	2.106966	0.000000	
0.000012	0.000539	99.158000	90.070000	1.920693	0.000000	
0.000012	0.000513	99.168000	90.160000	1.935147	0.000000	
0.000014	0.000542	98.986000	89.310000	2.210901	0.000000	
0.000016	0.000573	98.914000	89.220000	2.248598	0.000000	
0.000014	0.000548	99.054000	89.170000	2.031248	0.000000	
0.000012	0.000507	99.176000	89.950000	1.876861	0.000000	
0.000010	0.000588	99.306000	89.530000	1.784775	0.000000	
0.000010	0.000534	99.330000	89.920000	1.747360	0.000000	
0.000006	0.000454	99.606000	91.200000	1.339606	0.000000	
0.000004	0.000440	99.766000	91.270000	0.931557	0.000000	
0.000003	0.000436	99.852000	91.500000	0.834996	0.000000	
0.000003	0.000434	99.882000	91.560000	0.712080	0.000000	
0.000003	0.000436	99.864000	91.420000	0.772666	0.000000	
0.000003	0.000431	99.872000	91.750000	0.737839	0.000000	
0.000002	0.000433	99.888000	91.650000	0.712535	0.000000	
0.000002	0.000433	99.892000	91.680000	0.700783	0.000000	
0.000002	0.000431	99.910000	91.730000	0.607141	0.000000	
0.000002	0.000433	99.926000	91.610000	0.618979	0.000000	
0.000002	0.000431	99.926000	91.650000	0.623767	0.000000	
0.000002	0.000432	99.932000	91.760000	0.534845	0.000000	
0.000002	0.000434	99.936000	91.680000	0.553806	0.000000	
0.000001	0.000432	99.944000	91.670000	0.516213	0.000000	
0.000001	0.000434	99.952000	91.770000	0.488695	0.000000	
0.000001	0.000436	99.950000	91.690000	0.509132	0.000000	
0.000001	0.000436	99.952000	91.780000	0.494281	0.000000	
0.000001	0.000435	99.940000	91.800000	0.494567	0.000000	
0.000002	0.000437	99.936000	91.710000	0.606908	0.000000	
0.000001	0.000432	99.970000	91.780000	0.440997	0.000000	
0.000001	0.000435	99.966000	91.830000	0.464994	0.000000	
0.000001	0.000436	99.964000	91.670000	0.439186	0.000000	
0.000001	0.000439	99.958000	91.680000	0.477774	0.000000	
0.000001	0.000438	99.972000	91.720000	0.427160	0.000000	
0.000001	0.000439	99.964000	91.840000	0.448383	0.000000	
0.000001	0.000439	99.966000	91.730000	0.442591	0.000000	
0.000001	0.000442	99.952000	91.760000	0.474925	0.000000	
0.000001	0.000442	99.972000	91.730000	0.418238	0.000000	
0.000001	0.000444	99.972000	91.750000	0.453827	0.000000	
0.000001	0.000444	99.972000	91.810000	0.388067	0.000000	
0.000001	0.000443	99.960000	91.860000	0.439630	0.000000	
0.000001	0.000442	99.958000	91.830000	0.433317	0.000000	
0.000001	0.000442	99.978000	91.890000	0.381397	0.000000	
0.000001	0.000445	99.976000	91.730000	0.378752	0.000000	
0.000001	0.000442	99.978000	91.810000	0.363659	0.000000	
0.000001	0.000442	99.974000	91.880000	0.400293	0.000000	
0.000001	0.000443	99.964000	91.880000	0.386349	0.000000	
0.000001	0.000444	99.976000	91.820000	0.355426	0.000000	
0.000001	0.000445	99.986000	91.720000	0.353684	0.000000	
0.000001	0.000446	99.958000	91.900000	0.443749	0.000000	
0.000001	0.000448	99.972000	91.810000	0.374538	0.000000	
0.000001	0.000446	99.978000	91.790000	0.350227	0.000000	
0.000001	0.000447	99.962000	91.890000	0.444053	0.000000	
0.000001	0.000446	99.984000	91.760000	0.367176	0.000000	
0.000001	0.000448	99.974000	91.880000	0.378076	0.000000	
0.000001	0.000446	99.982000	91.820000	0.367846	0.000000	
0.000001	0.000447	99.962000	91.790000	0.441972	0.000000	
0.000001	0.000448	99.984000	91.720000	0.335535	0.000000	
0.000001	0.000445	99.966000	91.830000	0.384085	0.000000	
0.000001	0.000446	99.992000	91.880000	0.319346	0.000000	
0.000001	0.000447	99.982000	91.800000	0.320692	0.000000	
0.000001	0.000447	99.984000	91.820000	0.324487	0.000000	
0.000001	0.000447	99.972000	91.870000	0.364395	0.000000	
0.000001	0.000446	99.990000	91.830000	0.327165	0.000000	
0.000001	0.000445	99.980000	91.830000	0.371720	0.000000	
0.000001	0.000444	99.978000	91.830000	0.391298	0.000000	
0.000001	0.000445	99.986000	91.790000	0.307766	0.000000	
0.000001	0.000445	99.988000	91.770000	0.357874	0.000000	
0.000001	0.000447	99.974000	91.830000	0.377647	0.000000	
0.000001	0.000445	99.972000	91.830000	0.364112	0.000000	
0.000001	0.000448	99.978000	91.880000	0.337651	0.000000	
0.000001	0.000447	99.984000	91.760000	0.361923	0.000000	
0.000001	0.000445	99.984000	91.810000	0.342600	0.000000	
0.000001	0.000449	99.976000	91.830000	0.344168	0.000000	
0.000001	0.000446	99.974000	91.740000	0.366853	0.000000	
0.000001	0.000447	99.970000	91.870000	0.378815	0.000000	
0.000001	0.000446	99.970000	91.760000	0.441422	0.000000	
0.000001	0.000447	99.980000	91.770000	0.330073	0.000000	
0.000001	0.000446	99.974000	91.870000	0.342697	0.000000	
0.000001	0.000444	99.966000	91.820000	0.394546	0.000000	
