Learning Rate	Momentum	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Inner Prod. Loss Sum	Inner Prod. Loss Mean	Inner Prod. Loss Std	
0.001000	0.900000	631.781332	168.822547	40.476000	43.850000	0.000000	1111349.000000	1042087.500000	
0.001000	0.900000	445.407762	106.884031	59.566000	63.880000	0.000000	707921.125000	618574.437500	
0.001000	0.900000	364.917955	102.248523	67.102000	67.140000	0.000000	558718.375000	517888.156250	
0.001000	0.900000	316.176047	93.346911	72.032000	69.680000	0.000000	483915.156250	523947.906250	
0.001000	0.900000	293.216729	81.428384	74.998000	76.370000	0.000000	432047.156250	505660.875000	
0.001000	0.900000	295.378674	72.180078	76.642000	76.430000	0.000000	542791.750000	742809.625000	
0.001000	0.100000	216.116193	53.864011	82.400000	82.830000	-17327436.000000	-44315.691406	479665.375000	
0.001000	0.100000	208.088868	51.806283	83.980000	83.310000	-57055660.000000	-101606.710938	427757.093750	
0.001000	0.100000	187.988959	50.477896	84.582000	83.780000	-99846144.000000	-109438.578125	449193.625000	
0.001000	0.100000	175.910258	48.748027	85.186000	84.480000	-167279496.000000	-172463.812500	496846.000000	
0.001000	0.100000	178.904534	48.484241	85.732000	84.640000	-219159164.000000	-132684.578125	495861.562500	
0.001000	0.100000	170.202643	47.975668	86.078000	85.010000	-269586420.000000	-128969.960938	556526.562500	
0.001000	0.100000	172.242347	46.611907	86.408000	85.340000	-320652236.000000	-130603.109375	483035.593750	
0.001000	0.100000	156.076024	57.217568	86.914000	84.670000	-394020556.000000	-187642.765625	550199.562500	
0.001000	0.100000	164.526635	50.506032	86.966000	85.250000	-470706612.000000	-196128.015625	594757.812500	
0.001000	0.100000	151.863684	48.345906	87.386000	85.930000	-531793336.000000	-156232.031250	550094.250000	
0.001000	0.100000	155.714672	47.434118	87.832000	86.160000	-616537448.000000	-216736.859375	609763.812500	
0.001000	0.100000	152.986822	47.845542	87.918000	85.750000	-680125712.000000	-162629.828125	570887.562500	
0.001000	0.100000	151.945960	56.393997	88.062000	85.890000	-774279680.000000	-240802.984375	623990.750000	
0.001000	0.100000	138.575985	51.153111	88.344000	86.000000	-855752208.000000	-208369.640625	582733.875000	
0.001000	0.100000	147.156593	49.166784	88.476000	86.230000	-942056712.000000	-220727.625000	551949.437500	
0.001000	0.100000	138.729192	47.379582	88.858000	86.270000	-1019411672.000000	-197838.765625	647387.750000	
0.001000	0.100000	149.016004	47.203753	88.876000	86.630000	-1120867136.000000	-259476.890625	583333.375000	
0.001000	0.100000	135.790515	48.096886	89.112000	86.660000	-1214817064.000000	-240281.140625	545477.125000	
0.001000	0.100000	146.942780	46.760690	89.340000	86.590000	-1301936960.000000	-222813.031250	530597.125000	
0.001000	0.100000	130.063722	48.885813	89.492000	87.240000	-1399831280.000000	-250369.109375	549757.812500	
0.001000	0.100000	130.294484	51.057481	89.720000	86.740000	-1493546816.000000	-239681.671875	545262.562500	
0.001000	0.100000	133.391330	44.044935	89.930000	86.730000	-1583850608.000000	-230955.984375	541233.312500	
0.001000	0.100000	143.285485	52.376527	89.842000	86.640000	-1686528368.000000	-262602.968750	618194.437500	
0.001000	0.100000	127.381747	52.028165	90.196000	87.070000	-1784465536.000000	-250478.687500	624515.437500	
0.001000	0.100000	130.918990	58.503499	90.188000	86.630000	-1878465576.000000	-240409.312500	551424.312500	
0.001000	0.100000	116.697037	50.690394	90.466000	87.320000	-1974518376.000000	-245659.328125	547009.312500	
0.001000	0.100000	125.226404	46.442072	90.662000	87.410000	-2074326856.000000	-255264.656250	550443.875000	
0.001000	0.100000	124.198438	101.771620	90.646000	86.540000	-2173240288.000000	-252975.531250	580718.062500	
0.001000	0.100000	131.457277	44.004956	90.762000	87.260000	-2285914648.000000	-288169.718750	572955.500000	
0.001000	0.100000	127.092347	66.847659	90.840000	87.010000	-2381184520.000000	-243656.968750	543051.375000	
0.001000	0.100000	116.382384	48.851758	91.188000	87.060000	-2484669848.000000	-264668.343750	508415.187500	
0.001000	0.100000	120.931566	65.939836	91.350000	87.170000	-2581547016.000000	-247767.687500	524844.937500	
0.001000	0.100000	121.607333	149.532027	91.144000	86.060000	-2686414440.000000	-268203.125000	567274.625000	
0.001000	0.100000	110.494759	48.140648	91.410000	87.470000	-2773248688.000000	-222082.468750	514192.531250	
0.001000	0.100000	123.188403	51.754165	91.530000	87.500000	-2863823376.000000	-231648.812500	510929.093750	
0.001000	0.100000	127.918456	57.863432	91.674000	87.470000	-2966153840.000000	-261714.734375	484833.593750	
0.001000	0.100000	116.206437	51.520786	91.702000	87.380000	-3071198336.000000	-268656.000000	561745.437500	
0.001000	0.100000	123.706787	49.148946	91.782000	87.790000	-3191848360.000000	-308567.843750	600013.125000	
0.001000	0.100000	111.201872	58.111722	91.994000	87.740000	-3298758624.000000	-273427.781250	519176.781250	
0.001000	0.100000	100.646708	52.720289	92.266000	88.160000	-3397675152.000000	-252983.453125	537959.125000	
0.001000	0.100000	106.508356	50.771843	92.316000	87.740000	-3499849736.000000	-261316.078125	483665.843750	
0.001000	0.100000	102.977036	49.376054	92.272000	88.090000	-3598107568.000000	-251298.796875	514328.000000	
0.001000	0.100000	95.785414	49.573292	92.502000	87.610000	-3687996576.000000	-229895.156250	482516.156250	
0.001000	0.100000	112.522673	61.532259	92.578000	87.620000	-3784805072.000000	-247592.062500	571395.375000	
0.001000	0.100000	114.972321	54.258372	92.424000	87.600000	-3881641240.000000	-247662.828125	460160.593750	
0.001000	0.100000	127.707656	54.195429	92.564000	87.840000	-3972814376.000000	-233179.375000	472901.593750	
0.001000	0.100000	124.436373	51.575180	92.700000	88.140000	-4083310040.000000	-282597.593750	526691.312500	
