Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.230442	2.271857	19.280001	2.271254	18.959999	87.023781	
0.100000	1.036405	2.211073	31.655001	2.209143	31.219999	173.377627	
0.100000	0.930429	2.147632	41.205002	2.144424	41.180000	260.630887	
0.100000	0.858631	2.073812	53.299999	2.069273	54.110001	348.639920	
0.100000	0.810573	1.984231	66.188332	1.978228	67.989998	435.047540	
0.100000	0.764004	1.878003	75.389999	1.870300	76.690002	522.376685	
0.100000	0.730888	1.762193	81.748337	1.752383	82.779999	608.642760	
0.100000	0.695729	1.628872	85.538330	1.616752	86.519997	695.487245	
0.100000	0.674723	1.499838	87.851669	1.485457	88.800003	782.643549	
0.100000	0.666258	1.364319	89.793335	1.347871	90.680000	869.762126	
