"","iterations","V2","algo"
"1",0,4,"Batch"
"2",1,1.38384731068385,"Batch"
"3",2,1.38243079764813,"Batch"
"4",3,2.0325326078686,"Batch"
"5",4,1.46317826868237,"Batch"
"6",5,1.35760195505938,"Batch"
"7",6,1.11017154360622,"Batch"
"8",7,0.532929541781518,"Batch"
"9",8,0.324849062852255,"Batch"
"10",9,0.159536982917339,"Batch"
"11",10,0.0963657136195287,"Batch"
"12",11,0.109473492857894,"Batch"
"13",12,0.0605254736022019,"Batch"
"14",13,0.0683694933826847,"Batch"
"15",14,0.0586548656842099,"Batch"
"16",15,0.0267886117191526,"Batch"
"17",16,0.0501546196802063,"Batch"
"18",17,0.0253880346966857,"Batch"
"19",18,0.0406111365350823,"Batch"
"20",19,0.0280577634217375,"Batch"
"21",20,0.0300546503225055,"Batch"
"22",21,0.0330192663373136,"Batch"
"23",22,0.0238681911269276,"Batch"
"24",23,0.0231735970063899,"Batch"
"25",24,0.0364083637243444,"Batch"
"26",25,0.059617382559167,"Batch"
"27",26,0.0475098483996624,"Batch"
"28",27,0.0379835917481864,"Batch"
"29",28,0.0398075271385766,"Batch"
"30",29,0.0284795631754088,"Batch"
"31",30,0.0316267139704351,"Batch"
"32",31,0.0359603242684223,"Batch"
"33",32,0.0565920431689871,"Batch"
"34",33,0.0530155730584405,"Batch"
"35",34,0.0555138474711644,"Batch"
"36",35,0.0483156128384881,"Batch"
"37",36,0.0396516092518668,"Batch"
"38",37,0.0439607198731405,"Batch"
"39",38,0.0410243853926632,"Batch"
"40",39,0.0583226794618604,"Batch"
"41",40,0.0602725987031158,"Batch"
"42",41,0.044821178874237,"Batch"
"43",42,0.0279325673967164,"Batch"
"44",43,0.0262840756967057,"Batch"
"45",44,0.0218529536647829,"Batch"
"46",45,0.0209619941138483,"Batch"
"47",46,0.016019434015597,"Batch"
"48",47,0.0144890887150222,"Batch"
"49",48,0.0142117127593589,"Batch"
"50",49,0.0135154766425245,"Batch"
"51",50,0.013494110182454,"Batch"
"52",51,0.014421523734442,"Batch"
"53",52,0.0170983765723093,"Batch"
"54",53,0.0187795398665812,"Batch"
"55",54,0.0141150236628197,"Batch"
"56",55,0.016330136430066,"Batch"
"57",56,0.0138111478113688,"Batch"
"58",57,0.0112705681831814,"Batch"
"59",58,0.011354781389924,"Batch"
"60",59,0.0112986328159193,"Batch"
"61",0,4,"Inc."
"62",0.5,1.7904778555876,"Inc."
"63",1,2.24669078401507,"Inc."
"64",1.5,2.25940145448229,"Inc."
"65",2,2.00514666049628,"Inc."
"66",2.5,1.54866989846832,"Inc."
"67",3,1.0565678750413,"Inc."
"68",3.5,0.677346998666293,"Inc."
"69",4,0.770453207081776,"Inc."
"70",4.5,0.430661063599078,"Inc."
"71",5,0.220308507258153,"Inc."
"72",5.5,0.160711841612519,"Inc."
"73",6,0.167979996672821,"Inc."
"74",6.5,0.223533860576726,"Inc."
"75",7,0.208695590058973,"Inc."
"76",7.5,0.197636755820213,"Inc."
"77",8,0.154085460638761,"Inc."
"78",8.5,0.145703436547437,"Inc."
"79",9,0.141991402159883,"Inc."
"80",9.5,0.127002828577879,"Inc."
"81",10,0.111055157180996,"Inc."
"82",10.5,0.0874213359223508,"Inc."
"83",11,0.0734540665805148,"Inc."
"84",11.5,0.061172185411677,"Inc."
"85",12,0.106829355608581,"Inc."
"86",12.5,0.139057721832498,"Inc."
"87",13,0.114401623326106,"Inc."
"88",13.5,0.124383147811383,"Inc."
"89",14,0.104817538809173,"Inc."
"90",14.5,0.0836806408574115,"Inc."
"91",15,0.0888573327367251,"Inc."
"92",15.5,0.0920057065298296,"Inc."
"93",16,0.0774266595975816,"Inc."
"94",16.5,0.0603438999742467,"Inc."
"95",17,0.0643580814285579,"Inc."
"96",17.5,0.0645051199720739,"Inc."
"97",18,0.0620707828192772,"Inc."
"98",18.5,0.0533953262784864,"Inc."
"99",19,0.0647530550688106,"Inc."
"100",19.5,0.0564990849053538,"Inc."
"101",20,0.0551797398888324,"Inc."
"102",20.5,0.05327307710438,"Inc."
"103",21,0.0480966041985818,"Inc."
"104",21.5,0.0549450256993641,"Inc."
"105",22,0.0500079789330219,"Inc."
"106",22.5,0.0391198295800602,"Inc."
"107",23,0.0408765565433855,"Inc."
"108",23.5,0.0437799959062669,"Inc."
"109",24,0.0470635189074714,"Inc."
"110",24.5,0.0508790678288232,"Inc."
"111",25,0.0464445546487715,"Inc."
"112",25.5,0.0422850217076192,"Inc."
"113",26,0.0439976525200166,"Inc."
"114",26.5,0.0449088075961031,"Inc."
"115",27,0.0456900259337842,"Inc."
"116",27.5,0.0491343378258366,"Inc."
"117",28,0.0466374245857465,"Inc."
"118",28.5,0.043953836054367,"Inc."
"119",29,0.0404327244224718,"Inc."
"120",29.5,0.0339243397664727,"Inc."
"121",0,4,"VR"
"122",0.5,0.0109943553633133,"VR"
"123",1,0.0323382165228331,"VR"
"124",1.5,0.0544223831317125,"VR"
"125",2,0.0700694393777112,"VR"
"126",2.5,0.0790483719932241,"VR"
"127",3,0.0783797501502725,"VR"
"128",3.5,0.076865388654571,"VR"
"129",4,0.0727335458292212,"VR"
"130",4.5,0.0675188388993867,"VR"
"131",5,0.0627592760426717,"VR"
"132",5.5,0.0593012941775989,"VR"
"133",6,0.0592509098045156,"VR"
"134",6.5,0.0600514315325993,"VR"
"135",7,0.0601832118121609,"VR"
"136",7.5,0.0600025790355828,"VR"
"137",8,0.0584145312473113,"VR"
"138",8.5,0.0533349116477601,"VR"
"139",9,0.0524197290545794,"VR"
"140",9.5,0.0518841460631735,"VR"
"141",10,0.0500324957026369,"VR"
"142",10.5,0.0466153995299975,"VR"
"143",11,0.0445474119064619,"VR"
"144",11.5,0.0436155596373888,"VR"
"145",12,0.042768372958066,"VR"
"146",12.5,0.0402030232174329,"VR"
"147",13,0.0380585822659066,"VR"
"148",13.5,0.0351894407046608,"VR"
"149",14,0.0321503518247568,"VR"
"150",14.5,0.0308994647987332,"VR"
"151",15,0.0284174701471056,"VR"
"152",15.5,0.0266352564150107,"VR"
"153",16,0.0251269522071948,"VR"
"154",16.5,0.0235730412352782,"VR"
"155",17,0.0225284342651161,"VR"
"156",17.5,0.0231855147814722,"VR"
"157",18,0.0243686586180279,"VR"
"158",18.5,0.0246227265858542,"VR"
"159",19,0.024167988041083,"VR"
"160",19.5,0.0239397682929585,"VR"
"161",20,0.0241739243822553,"VR"
"162",20.5,0.0247369144420559,"VR"
"163",21,0.0240057476308061,"VR"
"164",21.5,0.0233834477740347,"VR"
"165",22,0.0233553953309576,"VR"
"166",22.5,0.0232218287351642,"VR"
"167",23,0.0242405848581789,"VR"
"168",23.5,0.0246979852269656,"VR"
"169",24,0.0245734451454233,"VR"
"170",24.5,0.0237787938480905,"VR"
"171",25,0.0228325579325624,"VR"
"172",25.5,0.0215171441370351,"VR"
"173",26,0.0203063627938888,"VR"
