Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	
0.010000	2.120592	2.302979	11.236667	2.302686	11.350000	
0.010000	2.237051	2.303284	11.236667	2.303258	11.350000	
0.010000	1.827939	2.165686	16.900000	2.163169	16.760000	
0.010000	1.400117	0.942262	80.526665	0.917490	81.430000	
0.010000	1.068405	0.493914	89.268333	0.467242	89.980003	
0.010000	0.881779	0.348265	91.025002	0.326846	91.599998	
0.010000	0.812282	0.299713	91.761665	0.278570	92.290001	
0.010000	0.820638	0.338397	91.113335	0.316980	91.669998	
0.010000	0.811555	0.286076	91.980003	0.266149	92.320000	
0.010000	0.798425	0.324638	91.323334	0.309106	91.690002	
0.010000	0.831592	0.299652	91.370003	0.281030	91.739998	
0.010000	0.792494	0.295827	91.563332	0.276531	91.980003	
