Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.999824	1.296287	80.956665	1.278831	82.510002	34.515508	
0.100000	1.198096	0.563150	89.701668	0.538483	90.410004	72.235180	
0.100000	0.844523	0.330970	92.641670	0.312153	93.190002	106.623846	
0.100000	0.689992	0.241972	94.059998	0.224007	94.589996	143.422879	
0.100000	0.586559	0.198492	94.596664	0.184200	95.080002	177.068692	
0.100000	0.528424	0.170914	95.203331	0.157035	95.519997	211.473365	
0.100000	0.504545	0.157640	95.578331	0.144931	95.800003	248.567774	
0.100000	0.465914	0.142925	95.956665	0.133335	96.040001	284.148837	
0.100000	0.434912	0.130483	96.273331	0.119212	96.470001	322.117762	
0.100000	0.413835	0.122223	96.355003	0.112737	96.559998	364.292887	
