Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.574887	2.257619	15.171667	2.255974	15.780000	375.467467	
0.100000	1.341079	2.185943	29.295000	2.183011	30.639999	728.996447	
0.100000	1.186254	2.099462	52.400002	2.094932	52.889999	1079.282654	
0.100000	1.102876	1.995456	67.418335	1.988668	68.320000	1420.831128	
0.100000	1.016337	1.873756	77.426666	1.864241	79.139999	1767.514391	
0.100000	0.970748	1.746281	83.506668	1.733803	85.110001	2119.744016	
0.100000	0.923575	1.608186	87.046669	1.592665	88.480003	2459.161705	
0.100000	0.874722	1.460020	89.048332	1.441618	90.269997	2803.182979	
0.100000	0.829214	1.308861	90.521667	1.287517	91.730003	3145.933158	
0.100000	0.796660	1.169890	91.345001	1.146415	92.480003	3487.569639	
