Learning Rate	Loss	Acc. at 1	Acc. at 5	Time	
0.0001	0.059080	91.476976	99.917520	3636.148186	NaN
0.0001	0.037843	91.540855	99.915712	3738.446527	NaN
0.0001	0.092431	91.696139	99.902885	3844.122048	NaN
0.0001	0.098796	91.692075	99.913411	3946.146657	NaN
0.0001	0.119109	91.694328	99.886660	4048.171648	NaN
0.0001	0.028489	91.697262	99.913665	4149.775394	NaN
0.0001	0.152162	91.725943	99.882430	4251.954523	NaN
0.0001	0.103019	91.729446	99.398341	4353.443878	NaN
0.0001	0.086436	91.725134	99.885870	4454.960246	NaN
0.0001	0.029754	91.758329	99.868607	4556.978396	NaN
0.0001	0.067758	91.762640	99.893880	4659.619721	NaN
0.0001	0.076111	91.774897	99.890867	4761.904106	NaN
0.0001	0.015353	91.784327	99.897048	4863.495765	NaN
0.0001	0.053797	91.784910	99.897905	4967.810052	NaN
0.0001	0.024201	91.789797	99.894972	5068.988597	NaN
0.0001	0.083816	91.847611	99.909221	5170.514734	NaN
0.0001	0.029801	91.936048	99.912170	5304.018892	NaN
0.0001	0.023265	91.917957	99.891269	5405.953794	NaN
0.0001	0.057801	91.940888	99.909691	5507.765050	NaN
0.0001	0.013877	91.929230	99.887308	5609.881145	NaN
0.0001	0.017258	91.943442	99.883024	5712.153554	NaN
0.0001	0.028823	91.943590	99.883184	5813.319154	NaN
0.0001	0.020925	91.944714	99.882032	5914.520823	NaN
0.0001	0.031151	91.930384	99.881792	6016.276657	NaN
0.0001	0.064484	91.929536	99.867569	6117.986713	NaN
0.0001	0.055215	91.953161	99.870722	6219.626752	NaN
0.0001	0.021348	91.960079	99.883390	6320.723784	NaN
0.0001	0.038879	91.953758	99.871286	6422.417296	NaN
0.0001	0.038103	91.957723	99.893321	6523.592055	NaN
0.0001	0.029413	91.966505	99.890551	6625.357606	NaN
0.0001	0.078363	91.999416	99.899564	6726.725191	NaN
0.0001	0.115593	92.005364	99.413513	6828.285101	NaN
0.0001	0.070806	91.998819	99.905582	6929.596592	NaN
0.0001	0.076216	91.999276	99.866375	7042.130676	NaN
0.0001	0.073829	91.990018	99.853248	7205.609764	NaN
0.0001	0.072409	91.996738	99.864475	7384.962260	NaN
0.0001	0.127069	91.993832	99.865580	7598.269750	NaN
0.0001	0.086361	91.996461	99.827546	7705.888397	NaN
0.0001	0.125135	91.995609	99.849517	7839.646514	NaN
0.0001	0.078811	91.996962	99.853808	8019.985769	NaN
0.0001	0.053482	91.998374	99.846466	8184.512846	NaN
0.0001	0.037753	91.996162	99.831050	8298.511588	NaN
0.0001	0.071343	91.998469	99.849254	8500.861879	NaN
0.0001	0.114740	91.986211	99.350828	8750.894949	NaN
0.0001	0.120175	91.996528	99.835430	8864.519552	NaN
0.0001	0.141111	91.974060	99.653956	9062.196270	NaN
0.0001	0.094465	92.008357	99.340062	9325.999922	NaN
0.0001	0.103939	91.992224	99.346849	9589.930680	NaN
0.0001	0.010881	92.008149	99.860221	9836.820080	NaN
0.0001	0.059363	92.005214	99.839783	10017.263241	NaN
0.0001	0.058305	92.006390	99.846589	10197.943344	NaN
0.0001	0.112250	91.996548	99.863020	10394.777953	NaN
0.0001	0.013714	92.010452	99.854577	10641.123059	NaN
0.0001	0.046686	92.011532	99.356193	10839.010327	NaN
0.0001	0.034397	91.997457	99.340133	11086.037477	NaN
0.0001	0.053109	92.010081	99.865925	11283.329464	NaN
0.0001	0.054427	92.005550	99.373122	11531.469056	NaN
0.0001	0.048020	91.995611	99.350086	11711.547244	NaN
0.0001	0.053589	91.998116	99.865267	11908.658698	NaN
0.0001	0.092581	92.008947	99.841899	12156.335736	NaN
0.0001	0.053782	91.999582	99.849973	12353.669263	NaN
0.0001	0.046148	92.001143	99.842121	12583.808749	NaN
0.0001	0.069325	92.011129	99.368398	12697.436276	NaN
0.0001	0.014109	92.010448	99.377492	12877.773286	NaN
0.0001	0.021813	92.007653	99.872916	13034.912649	NaN
0.0001	0.020504	92.007219	99.845830	13104.821644	NaN
