Learning Rate	Avg. Loss	Loss	Acc. at 1	Test Loss	Test Acc.	Time	
0.001000	0.167964	0.333618	89.012001	2.706085	59.820000	108420.980247	
0.001000	0.191941	0.325129	89.014000	2.689787	59.369999	109648.893111	
0.001000	0.178382	0.326084	89.239998	2.698909	59.860001	110864.130788	
0.001000	0.136566	0.332780	89.195999	2.814043	59.759998	112065.908167	
0.001000	0.221073	0.303263	89.452003	2.649438	59.560001	113378.013299	
0.001000	0.164109	0.318785	89.433998	2.809691	59.770000	114663.531244	
0.001000	0.178376	0.302528	89.697998	2.748930	59.549999	115912.813580	
0.001000	0.181637	0.292147	89.828003	2.692318	59.360001	117189.107424	
0.001000	0.173868	0.293196	89.907997	2.764550	59.169998	118465.474826	
0.001000	0.174861	0.292376	90.138000	2.805297	59.599998	119762.815651	
0.001000	0.196322	0.276160	90.197998	2.736488	59.470001	121004.887648	
0.001000	0.143227	0.287865	90.297997	2.870834	59.410000	122265.504580	
0.001000	0.123264	0.298044	90.362000	2.968071	59.209999	123524.400018	
0.001000	0.166895	0.292865	90.213997	2.900099	59.080002	124790.208659	
0.001000	0.160800	0.270579	90.601997	2.869225	59.500000	126032.605562	
