Learning Rate	Momentum	newstat	Train Loss	Train Acc.	iploss	
0.100000	0.900000	1.000000	2.317329	11.718750	0.000000	
0.100000	0.900000	1.148698	4.570601	14.062500	-0.083403	
0.100000	0.900000	1.245731	6.754698	12.760417	0.357125	
0.100000	0.900000	1.319508	8.798404	24.414062	0.470526	
0.100000	0.900000	1.379730	10.718385	32.343750	1.273147	
0.100000	0.900000	1.430969	12.483068	38.411458	1.992128	
0.100000	0.900000	1.475773	13.974873	44.308036	2.606045	
0.100000	0.900000	1.515717	15.307176	47.656250	2.748856	
0.100000	0.900000	1.551846	16.441436	50.434028	3.409919	
0.100000	0.900000	1.584893	17.335768	53.671875	3.287520	
0.100000	0.900000	1.615394	18.263178	55.468750	3.593583	
0.100000	0.900000	1.643752	18.973246	57.812500	3.784463	
0.100000	0.900000	1.670278	19.791813	59.194712	3.735235	
0.100000	0.900000	1.695218	20.558397	60.491071	4.192891	
0.100000	0.900000	1.718772	21.202277	61.979167	4.082467	
0.100000	0.900000	1.741101	21.797391	63.330078	4.473544	
0.100000	0.900000	1.762340	22.351014	64.430147	4.327603	
0.100000	0.900000	1.782602	22.867496	65.711806	4.665231	
0.100000	0.900000	1.801983	23.276649	66.858553	5.299789	
0.100000	0.900000	1.820564	23.695199	67.968750	5.621909	
0.100000	0.900000	1.838416	24.060519	68.936012	5.433187	
0.100000	0.900000	1.855601	24.438485	69.957386	5.418255	
0.100000	0.900000	1.872171	24.855673	70.788043	5.602844	
0.100000	0.900000	1.888175	25.234266	71.516927	5.901412	
0.100000	0.900000	1.903654	25.627663	72.250000	6.534198	
0.100000	0.900000	1.918645	25.954093	72.896635	6.606541	
0.100000	0.900000	1.933182	26.250610	73.553241	6.309426	
0.100000	0.900000	1.947294	26.683998	73.939732	7.104863	
0.100000	0.900000	1.961009	26.928241	74.542026	6.808315	
0.100000	0.900000	1.974350	27.402109	75.000000	7.455279	
0.100000	0.900000	1.987341	28.019689	75.252016	8.102453	
0.100000	0.900000	2.000000	28.419685	75.683594	8.515480	
0.100000	0.900000	2.012347	28.720549	76.136364	8.244657	
0.100000	0.900000	2.024397	28.983942	76.585478	8.371342	
0.100000	0.900000	2.036168	29.385387	76.941964	8.592906	
0.100000	0.900000	2.047673	29.549334	77.452257	9.247599	
0.100000	0.900000	2.058924	29.835086	77.766047	9.368673	
0.100000	0.900000	2.069935	30.071875	78.125000	9.577407	
0.100000	0.900000	2.080717	30.417227	78.465545	10.180625	
