Learning Rate	Momentum	newstat	Train Loss	Train Acc.	iploss	
0.100000	0.900000	1.000000	2.414013	9.375000	0.000000	
0.100000	0.900000	1.148698	4.576163	17.187500	0.021622	
0.100000	0.900000	1.245731	6.554971	23.437500	0.608016	
0.100000	0.900000	1.319508	8.245889	32.421875	1.135743	
0.100000	0.900000	1.379730	9.859790	35.937500	1.639772	
0.100000	0.900000	1.430969	11.249883	40.364583	1.983540	
0.100000	0.900000	1.475773	12.495339	44.977679	2.437547	
0.100000	0.900000	1.515717	13.803946	47.949219	2.854532	
0.100000	0.900000	1.551846	14.859327	51.128472	3.468159	
0.100000	0.900000	1.584893	15.839908	53.515625	3.826431	
0.100000	0.900000	1.615394	16.714673	55.894886	4.345120	
0.100000	0.900000	1.643752	17.532254	57.812500	4.523799	
0.100000	0.900000	1.670278	18.456384	58.653846	4.824657	
0.100000	0.900000	1.695218	19.174258	60.212054	5.164470	
0.100000	0.900000	1.718772	19.831194	61.614583	5.669180	
0.100000	0.900000	1.741101	20.490052	62.792969	6.077679	
0.100000	0.900000	1.762340	21.157070	63.832721	6.489205	
0.100000	0.900000	1.782602	21.647238	65.234375	6.556875	
0.100000	0.900000	1.801983	22.234749	66.200658	6.914901	
0.100000	0.900000	1.820564	22.809877	67.070312	7.189098	
0.100000	0.900000	1.838416	23.378586	67.745536	7.781125	
0.100000	0.900000	1.855601	23.867647	68.607955	7.928304	
0.100000	0.900000	1.872171	24.354296	69.429348	8.215106	
0.100000	0.900000	1.888175	24.877908	70.019531	8.382901	
0.100000	0.900000	1.903654	25.286473	70.750000	8.365919	
0.100000	0.900000	1.918645	25.829292	71.304087	8.650626	
0.100000	0.900000	1.933182	26.128657	72.019676	8.774677	
0.100000	0.900000	1.947294	26.448442	72.712054	8.856727	
0.100000	0.900000	1.961009	27.029332	73.087284	9.055904	
0.100000	0.900000	1.974350	27.356173	73.697917	9.502704	
0.100000	0.900000	1.987341	27.764294	74.117944	10.041394	
0.100000	0.900000	2.000000	28.031782	74.658203	10.581871	
0.100000	0.900000	2.012347	28.369617	75.213068	10.946190	
0.100000	0.900000	2.024397	28.779440	75.574449	10.836315	
0.100000	0.900000	2.036168	29.255997	75.825893	10.967421	
0.100000	0.900000	2.047673	29.568123	76.280382	11.216729	
0.100000	0.900000	2.058924	29.902230	76.668074	11.373487	
0.100000	0.900000	2.069935	30.297444	76.891447	11.916012	
0.100000	0.900000	2.080717	30.595714	77.243590	12.467721	
0.100000	0.900000	2.091279	30.987645	77.480469	12.011725	
0.100000	0.900000	2.101632	31.424319	77.705793	12.030574	
0.100000	0.900000	2.111786	31.753781	78.013393	12.246349	
0.100000	0.900000	2.121747	32.037901	78.324855	12.173009	
0.100000	0.900000	2.131526	32.449896	78.551136	12.240400	
0.100000	0.900000	2.141127	32.739566	78.819444	12.505308	
0.100000	0.900000	2.150560	33.252796	79.008152	12.638042	
0.100000	0.900000	2.159830	33.592279	79.238697	13.125883	
0.100000	0.900000	2.168944	33.887375	79.492188	13.497690	
0.100000	0.900000	2.177906	34.200596	79.767219	13.890700	
0.100000	0.900000	2.186724	34.557196	79.953125	13.867358	
0.100000	0.900000	2.195402	34.757442	80.208333	14.329774	
0.100000	0.900000	2.203945	35.123480	80.438702	14.165302	
0.100000	0.900000	2.212357	35.550928	80.571934	14.610428	
0.100000	0.900000	2.220643	35.827513	80.801505	15.185401	
0.100000	0.900000	2.228807	36.183087	80.951705	15.300438	
0.100000	0.900000	2.236854	36.554529	81.110491	15.885218	
0.100000	0.900000	2.244786	37.021376	81.208882	16.181456	
0.100000	0.900000	2.252608	37.287248	81.357759	16.436762	
0.100000	0.900000	2.260322	37.706335	81.435381	16.617361	
0.100000	0.900000	2.267933	38.015274	81.601562	16.822540	
0.100000	0.900000	2.275443	38.259055	81.800717	16.968410	
0.100000	0.900000	2.282855	38.497395	81.980847	17.019888	
0.100000	0.900000	2.290172	39.048270	82.043651	17.340117	
0.100000	0.900000	2.297397	39.329193	82.226562	17.428684	
0.100000	0.900000	2.304532	39.671470	82.355769	17.979795	
0.100000	0.900000	2.311579	40.029917	82.445549	18.472609	
0.100000	0.900000	2.318542	40.345445	82.520989	18.512373	
0.100000	0.900000	2.325422	40.629490	82.640165	18.667145	
0.100000	0.900000	2.332222	40.947855	82.778533	18.547579	
0.100000	0.900000	2.338943	41.260027	82.857143	18.729305	
0.100000	0.900000	2.345588	41.607551	82.944542	18.905098	
0.100000	0.900000	2.352158	41.829606	83.083767	19.152451	
0.100000	0.900000	2.358656	42.070705	83.219178	19.418751	
0.100000	0.900000	2.365083	42.411643	83.287584	19.907257	
0.100000	0.900000	2.371441	42.631676	83.437500	20.256456	
0.100000	0.900000	2.377731	42.987834	83.521793	20.167973	
0.100000	0.900000	2.383956	43.211281	83.674919	20.529533	
0.100000	0.900000	2.390116	43.465250	83.774038	20.890507	
0.100000	0.900000	2.396213	43.758150	83.880538	21.240042	
0.100000	0.900000	2.402249	43.971745	83.994141	21.764183	
0.100000	0.900000	2.408225	44.260730	84.085648	21.765638	
0.100000	0.900000	2.414142	44.529184	84.165396	22.237774	
0.100000	0.900000	2.420001	44.900251	84.233810	22.703949	
0.100000	0.900000	2.425805	45.094419	84.356399	22.874065	
0.100000	0.900000	2.431553	45.348641	84.420956	23.119675	
0.100000	0.900000	2.437248	45.721166	84.502180	23.335991	
0.100000	0.900000	2.442890	45.915604	84.617457	23.808174	
0.100000	0.900000	2.448480	46.187970	84.703480	23.630787	
