,Unnamed: 0,iteration,mu1,algo
20002,20003,0.0,0.376220963653086,isaemvr
20003,20004,0.0001,0.116453598873345,isaemvr
20004,20005,0.0002,0.116320583481621,isaemvr
20005,20006,0.0003,0.116089506323046,isaemvr
20006,20007,0.0004,0.11586799630675901,isaemvr
20007,20008,0.0005,0.115440365627048,isaemvr
20008,20009,0.0006,0.115255939852995,isaemvr
20009,20010,0.0007,0.11519465155758199,isaemvr
20010,20011,0.0008,0.11504426482692899,isaemvr
20011,20012,0.0009,0.114962727804252,isaemvr
20012,20013,0.001,0.11488453656331402,isaemvr
20013,20014,0.0011,0.11470244447239998,isaemvr
20014,20015,0.0012,0.114530514064913,isaemvr
20015,20016,0.0013,0.114306826752129,isaemvr
20016,20017,0.0014,0.11406726718997501,isaemvr
20017,20018,0.0015,0.11383630553962198,isaemvr
20018,20019,0.0016,0.11356613992111599,isaemvr
20019,20020,0.0017,0.113290442459761,isaemvr
20020,20021,0.0018,0.11301913073197599,isaemvr
20021,20022,0.0019,0.112776645933741,isaemvr
20022,20023,0.002,0.11257181677984301,isaemvr
20023,20024,0.0021,0.11237125134473198,isaemvr
20024,20025,0.0022,0.112200924855737,isaemvr
20025,20026,0.0023,0.112063499393,isaemvr
20026,20027,0.0024,0.11191196016129303,isaemvr
20027,20028,0.0025,0.11177458542971302,isaemvr
20028,20029,0.0026,0.111624000801879,isaemvr
20029,20030,0.0027,0.111480201792759,isaemvr
20030,20031,0.0028,0.111342395094986,isaemvr
20031,20032,0.0029,0.111200019499471,isaemvr
20032,20033,0.003,0.11106824504828901,isaemvr
20033,20034,0.0031,0.11094307858123599,isaemvr
20034,20035,0.0032,0.110815048458381,isaemvr
20035,20036,0.0033,0.11071628221697001,isaemvr
20036,20037,0.0034,0.11060403471502402,isaemvr
20037,20038,0.0035,0.110508564953146,isaemvr
20038,20039,0.0036,0.11041284587565099,isaemvr
20039,20040,0.0037,0.11031148421704902,isaemvr
20040,20041,0.0038,0.110214888608201,isaemvr
20041,20042,0.0039,0.11014144425832001,isaemvr
20042,20043,0.004,0.110050367407317,isaemvr
20043,20044,0.0041,0.109969372491286,isaemvr
20044,20045,0.0042,0.109918244799512,isaemvr
20045,20046,0.0043,0.10987461622258801,isaemvr
20046,20047,0.0044,0.109819025997763,isaemvr
20047,20048,0.0045,0.10975678872342098,isaemvr
20048,20049,0.0046,0.10969808073322099,isaemvr
20049,20050,0.0047,0.10963527842718901,isaemvr
20050,20051,0.0048,0.1095846129325,isaemvr
20051,20052,0.0049,0.10952344106867,isaemvr
20052,20053,0.005,0.109457684080071,isaemvr
20053,20054,0.0051,0.10938364956836401,isaemvr
20054,20055,0.0052,0.10929973689816,isaemvr
20055,20056,0.0053,0.10922566304857699,isaemvr
20056,20057,0.0054,0.10914627970106401,isaemvr
20057,20058,0.0055,0.10906704713164199,isaemvr
20058,20059,0.0056,0.10898764353870699,isaemvr
20059,20060,0.0057,0.10891680306986501,isaemvr
20060,20061,0.0058,0.10883167671444802,isaemvr
20061,20062,0.0059,0.108750076585774,isaemvr
20062,20063,0.006,0.108656153518109,isaemvr
20063,20064,0.0061,0.108570358019298,isaemvr
20064,20065,0.0062,0.108469101907302,isaemvr
20065,20066,0.0063,0.10837141251892,isaemvr
20066,20067,0.0064,0.10827884367021,isaemvr
20067,20068,0.0065,0.108183596620952,isaemvr
20068,20069,0.0066,0.108085980595996,isaemvr
20069,20070,0.0067,0.10798760214965099,isaemvr
20070,20071,0.0068,0.10790196461631,isaemvr
20071,20072,0.0069,0.10781114586608699,isaemvr
20072,20073,0.006999999999999999,0.107704739616341,isaemvr
20073,20074,0.0071,0.10760428412737301,isaemvr
20074,20075,0.0072,0.10750893016859,isaemvr
20075,20076,0.0073,0.10740907338889699,isaemvr
20076,20077,0.0074,0.107302750672767,isaemvr
20077,20078,0.0075,0.107193739394403,isaemvr
20078,20079,0.0076,0.107093356379703,isaemvr
20079,20080,0.0077,0.10700106512385901,isaemvr
20080,20081,0.0078,0.106912485196944,isaemvr
20081,20082,0.0079,0.10682614230334699,isaemvr
20082,20083,0.008,0.10673974906758901,isaemvr
20083,20084,0.0081,0.10664635031913601,isaemvr
20084,20085,0.0082,0.10655125744433601,isaemvr
20085,20086,0.0083,0.10645688771656599,isaemvr
20086,20087,0.0084,0.106365379940559,isaemvr
20087,20088,0.0085,0.10627163810690099,isaemvr
20088,20089,0.0086,0.10617450327963,isaemvr
20089,20090,0.0087,0.106087514714997,isaemvr
20090,20091,0.0088,0.10600494260177498,isaemvr
20091,20092,0.0089,0.105916929751699,isaemvr
20092,20093,0.009000000000000001,0.105836734872724,isaemvr
20093,20094,0.0091,0.105756715330888,isaemvr
20094,20095,0.0092,0.105669343121396,isaemvr
20095,20096,0.0093,0.10558498338906698,isaemvr
20096,20097,0.0094,0.10549645288510401,isaemvr
20097,20098,0.0095,0.10540828858545899,isaemvr
20098,20099,0.0096,0.105321904779536,isaemvr
20099,20100,0.0097,0.105234856084918,isaemvr
20100,20101,0.0098,0.10515282317926598,isaemvr
20101,20102,0.0099,0.105067496611739,isaemvr
20102,20103,0.01,0.10498417334384101,isaemvr
20103,20104,0.0101,0.104903576818658,isaemvr
20104,20105,0.0102,0.10482678665219501,isaemvr
20105,20106,0.0103,0.10474652665465899,isaemvr
20106,20107,0.0104,0.10467407297364699,isaemvr
20107,20108,0.0105,0.10460096657081,isaemvr
20108,20109,0.0106,0.104525257026664,isaemvr
20109,20110,0.0107,0.104456696396051,isaemvr
20110,20111,0.0108,0.10439263426612401,isaemvr
20111,20112,0.0109,0.104336275180929,isaemvr
20112,20113,0.011000000000000001,0.104277644579569,isaemvr
20113,20114,0.0111,0.104225188795404,isaemvr
