Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.018066	1.571515	72.589996	1.557142	74.510002	128.579758	
0.100000	0.648438	0.369695	93.293335	0.355065	93.620003	257.296203	
0.100000	0.535151	0.204339	95.305000	0.196869	95.589996	385.974257	
0.100000	0.531697	0.194068	95.213333	0.186568	95.370003	513.402838	
0.100000	0.575267	0.207736	94.993332	0.202151	95.110001	639.829105	
0.100000	0.667633	0.212745	94.970001	0.205902	95.190002	767.356255	
0.100000	0.789042	0.303730	92.611664	0.293470	92.970001	896.182390	
0.100000	0.867943	0.380796	90.666664	0.367467	91.290001	1024.070106	
0.100000	0.926989	0.403969	90.839996	0.393114	91.330002	1153.123633	
0.100000	0.988799	0.455625	88.790001	0.443478	89.339996	1278.456401	
