Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.030730	2.268435	13.126667	2.267877	13.360000	80.306047	
0.100000	0.837330	2.200148	44.451668	2.198110	44.759998	160.310229	
0.100000	0.753027	2.085243	67.308334	2.080385	67.879997	240.393990	
0.100000	0.684824	1.942680	78.833336	1.934491	80.489998	320.655448	
0.100000	0.640203	1.749463	85.146667	1.736498	86.440002	400.237095	
0.100000	0.609373	1.549783	88.948334	1.533352	89.889999	480.375926	
0.100000	0.581965	1.328703	91.574997	1.309170	92.279999	560.464871	
0.100000	0.562841	1.117498	93.426666	1.095460	93.800003	640.638205	
0.100000	0.541112	0.946808	94.331665	0.924028	94.489998	720.853838	
0.100000	0.524567	0.786356	94.889999	0.763294	94.940002	800.860913	
