Learning Rate	Momentum	newstat	Train Loss	Train Acc.	iploss	
0.100000	0.900000	1.000000	2.408395	10.937500	0.000000	
0.100000	0.900000	1.148698	5.378577	12.890625	0.001368	
0.100000	0.900000	1.245731	8.259183	15.364583	0.019220	
0.100000	0.900000	1.319508	10.711845	15.820312	0.117253	
0.100000	0.900000	1.379730	12.967278	17.500000	-0.378973	
0.100000	0.900000	1.430969	15.149634	18.098958	0.154448	
0.100000	0.900000	1.475773	17.378137	17.857143	0.457320	
0.100000	0.900000	1.515717	19.570966	18.164062	0.405194	
0.100000	0.900000	1.551846	21.680792	18.923611	0.775231	
0.100000	0.900000	1.584893	23.743829	18.906250	1.254851	
0.100000	0.900000	1.615394	25.867064	19.105114	1.753867	
0.100000	0.900000	1.643752	27.849813	19.596354	1.537699	
0.100000	0.900000	1.670278	29.862162	20.132212	1.820521	
0.100000	0.900000	1.695218	31.811051	20.368304	2.158642	
0.100000	0.900000	1.718772	33.815305	20.885417	2.362938	
0.100000	0.900000	1.741101	35.795799	21.142578	2.521731	
0.100000	0.900000	1.762340	37.799854	21.553309	2.504746	
0.100000	0.900000	1.782602	39.767761	21.657986	2.784855	
0.100000	0.900000	1.801983	41.692612	21.957237	2.940395	
0.100000	0.900000	1.820564	43.599363	22.148438	3.434592	
0.100000	0.900000	1.838416	45.418643	22.693452	4.006461	
0.100000	0.900000	1.855601	47.360686	23.224432	4.310171	
0.100000	0.900000	1.872171	49.285300	23.607337	4.366414	
0.100000	0.900000	1.888175	51.089235	23.795573	4.932270	
0.100000	0.900000	1.903654	52.906758	24.000000	5.209421	
0.100000	0.900000	1.918645	54.707987	24.579327	5.461610	
0.100000	0.900000	1.933182	56.568523	24.652778	5.443153	
0.100000	0.900000	1.947294	58.481277	24.609375	5.938184	
0.100000	0.900000	1.961009	60.279324	24.865302	6.311294	
0.100000	0.900000	1.974350	62.119980	25.078125	6.509469	
0.100000	0.900000	1.987341	63.820562	25.403226	6.832715	
0.100000	0.900000	2.000000	65.648188	25.610352	6.708699	
