Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.488938	2.245755	27.656666	2.244718	27.850000	142.980092	
0.100000	1.298054	2.173837	50.801666	2.172079	51.419998	280.681787	
0.100000	1.169983	2.087940	63.391666	2.085055	64.790001	417.883355	
0.100000	1.095664	1.988265	74.563332	1.984010	75.739998	558.905991	
0.100000	1.039588	1.880125	80.676666	1.874134	81.940002	698.918792	
0.100000	0.979885	1.752996	85.070000	1.744836	85.989998	826.406387	
0.100000	0.932190	1.620733	87.699997	1.610272	88.680000	951.907090	
0.100000	0.900954	1.493413	89.186668	1.480707	90.080002	1075.223434	
0.100000	0.861634	1.363675	90.423332	1.348218	91.230003	1201.437333	
0.100000	0.843258	1.229231	91.269997	1.211695	92.070000	1338.387597	
