Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.565104	2.252789	25.299999	2.252484	25.309999	94.303741	
0.100000	1.320781	2.187986	51.323334	2.186117	51.169998	187.719402	
0.100000	1.168192	2.105346	67.911667	2.101616	68.400002	281.933028	
0.100000	1.070243	2.001313	76.614998	1.995488	77.989998	374.159128	
0.100000	0.995516	1.871019	81.614998	1.862506	83.309998	466.200525	
0.100000	0.941780	1.726944	85.146667	1.715705	86.820000	558.029980	
0.100000	0.909187	1.575985	87.441666	1.561980	89.089996	650.113546	
0.100000	0.865674	1.425568	89.141670	1.408917	90.720001	743.913992	
0.100000	0.842022	1.286334	90.271667	1.267398	91.709999	836.033431	
0.100000	0.817295	1.145489	91.003334	1.124434	92.410004	929.271122	
