Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.656832	1.531170	82.290001	1.514374	84.010002	54.280074	
0.100000	0.947129	0.375542	92.133331	0.357402	92.790001	105.034109	
0.100000	0.638057	0.205223	94.644997	0.191729	95.190002	155.290694	
0.100000	0.528623	0.157991	95.584999	0.144786	96.050003	207.436116	
0.100000	0.461542	0.140383	95.993332	0.130017	96.300003	259.907191	
0.100000	0.419548	0.124528	96.398331	0.113969	96.779999	310.275603	
0.100000	0.387524	0.113168	96.691666	0.104365	97.050003	361.313706	
0.100000	0.364303	0.105673	96.879997	0.096923	97.160004	418.671849	
0.100000	0.346061	0.101102	96.988335	0.092837	97.230003	472.556882	
0.100000	0.329580	0.095307	97.220001	0.087310	97.489998	527.632672	
