Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	0.921312	0.924697	89.103333	0.902352	89.940002	55.036373	
0.100000	0.547994	0.153934	95.938332	0.145200	95.889999	109.827014	
0.100000	0.401629	0.103978	96.956665	0.099988	96.910004	163.977125	
0.100000	0.355826	0.092150	97.264999	0.090897	97.129997	221.131560	
0.100000	0.314910	0.084475	97.543335	0.079619	97.639999	279.120618	
0.100000	0.301047	0.073779	97.839996	0.072951	97.879997	336.311619	
0.100000	0.294572	0.069867	97.951668	0.073397	97.889999	392.285634	
0.100000	0.273346	0.069307	97.986664	0.067709	97.989998	451.460949	
0.100000	0.272520	0.068128	97.970001	0.067411	97.889999	509.124970	
0.100000	0.265267	0.065139	98.050003	0.064731	98.110001	564.732481	
