Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	0.911856	2.280361	15.840000	2.279337	16.290001	74.599306	
0.100000	0.821215	2.253772	23.421667	2.252294	24.160000	147.664158	
0.100000	0.767446	2.218464	34.943333	2.215886	36.259998	220.648445	
0.100000	0.717661	2.172178	46.700001	2.168307	48.259998	293.405141	
0.100000	0.674816	2.113509	55.279999	2.107416	57.520000	369.091583	
0.100000	0.648337	2.033930	68.556664	2.025497	71.379997	439.531018	
0.100000	0.615051	1.955831	77.356667	1.945705	80.010002	510.393057	
0.100000	0.613641	1.873063	84.698334	1.860937	86.339996	584.152217	
0.100000	0.588508	1.762375	89.315002	1.748260	90.769997	658.661145	
0.100000	0.574471	1.652227	91.668335	1.636138	92.660004	731.940314	
