%iteration	mu1	
0	4
0	4
1	1.38384731068385
1	1.38384731068385
2	1.38243079764813
2	1.38243079764813
3	2.0325326078686
3	2.0325326078686
4	1.46317826868237
4	1.46317826868237
5	1.35760195505938
5	1.35760195505938
6	1.11017154360622
6	1.11017154360622
7	0.532929541781518
7	0.532929541781518
8	0.324849062852255
8	0.324849062852255
9	0.159536982917339
9	0.159536982917339
10	0.0963657136195287
10	0.0963657136195287
11	0.109473492857894
11	0.109473492857894
12	0.0605254736022019
12	0.0605254736022019
13	0.0683694933826847
13	0.0683694933826847
14	0.0586548656842099
14	0.0586548656842099
15	0.0578593893837928
15	0.0578593893837928
0	4
1	1.7904778555876
2	2.24669078401507
3	2.25940145448229
4	2.00514666049628
5	1.54866989846832
6	1.0565678750413
7	0.677346998666293
8	0.770453207081776
9	0.430661063599078
10	0.220308507258153
11	0.160711841612519
12	0.167979996672821
13	0.223533860576726
14	0.208695590058973
15	0.197636755820213
16	0.154085460638761
17	0.145703436547437
18	0.141991402159883
19	0.127002828577879
20	0.111055157180996
21	0.0874213359223508
22	0.0734540665805148
23	0.061172185411677
24	0.106829355608581
25	0.139057721832498
26	0.114401623326106
27	0.124383147811383
28	0.104817538809173
29	0.0836806408574115
30	0.0812398038809928
0	4
1	0.0109943553633133
2	0.0323382165228331
3	0.0544223831317125
4	0.0700694393777112
5	0.0790483719932241
6	0.0783797501502725
7	0.076865388654571
8	0.0727335458292212
9	0.0675188388993867
10	0.0627592760426717
11	0.0593012941775989
12	0.0592509098045156
13	0.0600514315325993
14	0.0601832118121609
15	0.0600025790355828
16	0.0584145312473113
17	0.0533349116477601
18	0.0524197290545794
19	0.0518841460631735
20	0.0500324957026369
21	0.0466153995299975
22	0.0445474119064619
23	0.0436155596373888
24	0.042768372958066
25	0.0402030232174329
26	0.0380585822659066
27	0.0351894407046608
28	0.0321503518247568
29	0.0308994647987332
30	0.0298983898302092
0	4
1	0.00715917897929352
2	0.0137955420395784
3	0.0139491795711274
4	0.0130894994173844
5	0.0118617959164236
6	0.0113882826407243
7	0.00915416039965413
8	0.00972171355030012
9	0.0101695510752317
10	0.0104129584465154
11	0.0108598727916119
12	0.0123940616057126
13	0.0119752246417819
14	0.00920978410937711
15	0.00817775476187926
16	0.00909378581485509
17	0.0104985794051675
18	0.0109506939196535
19	0.0122116870907251
20	0.0116257932672888
21	0.0101519615774304
22	0.0102130765176865
23	0.0101597612115576
24	0.0111543309074467
25	0.0112394550302358
26	0.0120672452792428
27	0.0114477874698644
28	0.0112734055246363
29	0.0123380057938667
30	0.0112909380489002
