"","iterations","V2","algo"
"1",0,4,"Batch"
"1.1",0,4,"Batch"
"2",1,1.38384731068385,"Batch"
"2.1",1,1.38384731068385,"Batch"
"3",2,1.38243079764813,"Batch"
"3.1",2,1.38243079764813,"Batch"
"4",3,2.0325326078686,"Batch"
"4.1",3,2.0325326078686,"Batch"
"5",4,1.46317826868237,"Batch"
"5.1",4,1.46317826868237,"Batch"
"6",5,1.35760195505938,"Batch"
"6.1",5,1.35760195505938,"Batch"
"7",6,1.11017154360622,"Batch"
"7.1",6,1.11017154360622,"Batch"
"8",7,0.532929541781518,"Batch"
"8.1",7,0.532929541781518,"Batch"
"9",8,0.324849062852255,"Batch"
"9.1",8,0.324849062852255,"Batch"
"10",9,0.159536982917339,"Batch"
"10.1",9,0.159536982917339,"Batch"
"11",10,0.0963657136195287,"Batch"
"11.1",10,0.0963657136195287,"Batch"
"12",11,0.109473492857894,"Batch"
"12.1",11,0.109473492857894,"Batch"
"13",12,0.0605254736022019,"Batch"
"13.1",12,0.0605254736022019,"Batch"
"14",13,0.0683694933826847,"Batch"
"14.1",13,0.0683694933826847,"Batch"
"15",14,0.0586548656842099,"Batch"
"15.1",14,0.0586548656842099,"Batch"
"110",0,4,"Inc."
"210",1,1.7904778555876,"Inc."
"31",2,2.24669078401507,"Inc."
"41",3,2.25940145448229,"Inc."
"51",4,2.00514666049628,"Inc."
"61",5,1.54866989846832,"Inc."
"71",6,1.0565678750413,"Inc."
"81",7,0.677346998666293,"Inc."
"91",8,0.770453207081776,"Inc."
"101",9,0.430661063599078,"Inc."
"111",10,0.220308507258153,"Inc."
"121",11,0.160711841612519,"Inc."
"131",12,0.167979996672821,"Inc."
"141",13,0.223533860576726,"Inc."
"151",14,0.208695590058973,"Inc."
"16",15,0.197636755820213,"Inc."
"17",16,0.154085460638761,"Inc."
"18",17,0.145703436547437,"Inc."
"19",18,0.141991402159883,"Inc."
"20",19,0.127002828577879,"Inc."
"21",20,0.111055157180996,"Inc."
"22",21,0.0874213359223508,"Inc."
"23",22,0.0734540665805148,"Inc."
"24",23,0.061172185411677,"Inc."
"25",24,0.106829355608581,"Inc."
"26",25,0.139057721832498,"Inc."
"27",26,0.114401623326106,"Inc."
"28",27,0.124383147811383,"Inc."
"29",28,0.104817538809173,"Inc."
"30",29,0.0836806408574115,"Inc."
"112",0,4,"VR"
"211",1,0.0109943553633133,"VR"
"32",2,0.0323382165228331,"VR"
"42",3,0.0544223831317125,"VR"
"52",4,0.0700694393777112,"VR"
"62",5,0.0790483719932241,"VR"
"72",6,0.0783797501502725,"VR"
"82",7,0.076865388654571,"VR"
"92",8,0.0727335458292212,"VR"
"102",9,0.0675188388993867,"VR"
"113",10,0.0627592760426717,"VR"
"122",11,0.0593012941775989,"VR"
"132",12,0.0592509098045156,"VR"
"142",13,0.0600514315325993,"VR"
"152",14,0.0601832118121609,"VR"
"161",15,0.0600025790355828,"VR"
"171",16,0.0584145312473113,"VR"
"181",17,0.0533349116477601,"VR"
"191",18,0.0524197290545794,"VR"
"201",19,0.0518841460631735,"VR"
"212",20,0.0500324957026369,"VR"
"221",21,0.0466153995299975,"VR"
"231",22,0.0445474119064619,"VR"
"241",23,0.0436155596373888,"VR"
"251",24,0.042768372958066,"VR"
"261",25,0.0402030232174329,"VR"
"271",26,0.0380585822659066,"VR"
"281",27,0.0351894407046608,"VR"
"291",28,0.0321503518247568,"VR"
"301",29,0.0308994647987332,"VR"
"114",0,4,"Fast Inc."
"213",1,0.00715917897929352,"Fast Inc."
"33",2,0.0137955420395784,"Fast Inc."
"43",3,0.0139491795711274,"Fast Inc."
"53",4,0.0130894994173844,"Fast Inc."
"63",5,0.0118617959164236,"Fast Inc."
"73",6,0.0113882826407243,"Fast Inc."
"83",7,0.00915416039965413,"Fast Inc."
"93",8,0.00972171355030012,"Fast Inc."
"103",9,0.0101695510752317,"Fast Inc."
"115",10,0.0104129584465154,"Fast Inc."
"123",11,0.0108598727916119,"Fast Inc."
"133",12,0.0123940616057126,"Fast Inc."
"143",13,0.0119752246417819,"Fast Inc."
"153",14,0.00920978410937711,"Fast Inc."
"162",15,0.00817775476187926,"Fast Inc."
"172",16,0.00909378581485509,"Fast Inc."
"182",17,0.0104985794051675,"Fast Inc."
"192",18,0.0109506939196535,"Fast Inc."
"202",19,0.0122116870907251,"Fast Inc."
"214",20,0.0116257932672888,"Fast Inc."
"222",21,0.0101519615774304,"Fast Inc."
"232",22,0.0102130765176865,"Fast Inc."
"242",23,0.0101597612115576,"Fast Inc."
"252",24,0.0111543309074467,"Fast Inc."
"262",25,0.0112394550302358,"Fast Inc."
"272",26,0.0120672452792428,"Fast Inc."
"282",27,0.0114477874698644,"Fast Inc."
"292",28,0.0112734055246363,"Fast Inc."
"302",29,0.0123380057938667,"Fast Inc."
