Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.163220	2.186650	21.863333	2.184159	22.049999	170.056522	
0.100000	0.855567	1.900705	74.628334	1.892595	76.320000	324.984309	
0.100000	0.703652	1.463615	90.198334	1.449127	90.959999	488.063704	
0.100000	0.637353	1.009586	93.334999	0.989316	93.980003	646.138033	
0.100000	0.585298	0.669858	94.541664	0.647819	95.150002	803.904313	
0.100000	0.552440	0.468138	95.041664	0.447249	95.730003	958.391458	
0.100000	0.523983	0.342895	95.363335	0.323076	95.910004	1111.981416	
0.100000	0.508171	0.267668	95.620003	0.250158	96.110001	1263.594878	
0.100000	0.508295	0.222509	95.801666	0.206651	96.290001	1414.735798	
0.100000	0.508718	0.197794	95.949997	0.183573	96.300003	1568.612627	
