Learning Rate	Loss	Acc. at 1	Acc. at 5	Time
0.000050	3.698045	7.200000	22.219999	278.281164
0.000050	4.377935	13.299999	33.860001	560.249875
0.000050	3.307448	18.439999	42.959999	839.191226
0.000050	3.977900	24.139999	49.919998	1115.939181
0.000050	3.948322	25.599998	53.160000	1400.534494
0.000050	3.414929	29.639999	57.039997	1676.532702
0.000050	3.321096	33.899998	61.919998	1949.061259
0.000050	2.665718	35.959999	63.739998	2224.042480
0.000050	3.560603	38.619999	66.199997	2498.369949
0.000050	3.316518	40.419998	68.279999	2771.012887
0.000050	3.131233	41.799999	70.019997	3044.157451
0.000050	2.476916	43.239998	71.000000	3320.284097
0.000050	2.868340	46.160000	73.459999	3594.225911
0.000050	2.691302	47.340000	74.299995	3878.622291
0.000050	2.505820	48.820000	76.139999	4156.148076
0.000050	2.943280	48.820000	76.040001	4434.837345
0.000050	2.230648	52.439999	77.680000	4711.405726
0.000050	2.344297	53.879997	79.040001	4987.964002
0.000050	4.005906	54.719997	79.360001	5263.227525
0.000050	3.455023	55.699997	80.099998	5537.795684
0.000050	2.322510	57.039997	81.139999	5812.993396
0.000050	2.108055	57.359997	81.299995	6094.127769
0.000050	1.359519	59.180000	82.199997	6368.215765
0.000050	2.090110	60.320000	84.360001	6651.731125
0.000050	3.283845	60.899998	83.779999	6925.451382
0.000050	2.937408	61.660000	85.099998	7202.398510
0.000050	2.772243	62.259998	86.339996	7473.558713
0.000050	2.494723	63.059998	86.419998	7761.945675
0.000050	1.457261	63.879997	86.839996	8044.285518
0.000050	2.474733	65.500000	87.099998	8317.353422
0.000050	1.926082	70.759995	89.720001	8587.869850
0.000050	2.585538	71.599998	90.939995	8869.747434
0.000050	2.652913	71.900002	91.360001	9142.370790
0.000050	1.247145	72.180000	90.400002	9420.411256
0.000050	1.879966	72.339996	90.680000	9693.179236
0.000050	1.744882	72.820000	91.779999	9965.949561
0.000050	1.909033	73.139999	91.639999	10238.610456
0.000050	1.889125	73.379997	91.919998	10510.488068
0.000050	1.805659	73.779999	91.919998	10780.604594
0.000050	2.107721	74.099998	92.019997	11051.646383
0.000050	1.736419	74.119995	91.399994	11323.747555
0.000050	1.305099	74.299995	91.339996	11598.877131
0.000050	0.854921	74.699997	91.779999	11867.372922
0.000050	1.704915	74.900002	92.459999	12141.627123
0.000050	1.715911	74.919998	92.639999	12413.238420
0.000050	0.764135	75.459999	91.879997	12684.305465
0.000050	3.003662	75.580002	92.180000	12955.808210
0.000050	1.935222	75.580002	92.339996	13229.094922
0.000050	1.806739	75.919998	92.299995	13499.961713
0.000050	2.211096	76.580002	92.079994	13773.455957
0.000050	2.337461	76.599998	92.479996	14055.873592
0.000050	2.277661	76.599998	92.199997	14325.859395
0.000050	2.535139	77.040001	93.320000	14596.988441
0.000050	1.727157	77.040001	93.360001	14868.351393
0.000050	1.418001	77.040001	93.259995	15140.309219
0.000050	2.692548	77.459999	92.899994	15412.283113
0.000050	2.172949	77.720001	93.399994	15689.532502
0.000050	1.042675	77.639999	92.919998	15961.296741
0.000050	1.251365	77.720001	93.699997	16234.377003
0.000050	1.862784	77.919998	93.299995	16506.581531
0.000050	1.771151	78.699997	93.680000	16778.393355
0.000050	1.215838	78.739998	93.820000	17055.424615
0.000050	2.909683	78.839996	93.379997	17337.528697
0.000050	1.447845	78.839996	93.360001	17608.539487
0.000050	1.989126	78.839996	93.619995	17881.083207
0.000050	1.372261	78.799995	93.860001	18152.201121
0.000050	2.255235	78.799995	93.820000	18423.631386
0.000050	2.512313	78.799995	93.879997	18694.336930
0.000050	2.118330	79.000000	94.079994	18967.116629
0.000050	1.343778	78.839996	93.559998	19239.983324
0.000050	1.650668	79.000000	93.879997	19513.426598
0.000050	1.986339	79.239998	93.799995	19786.495001
0.000050	1.859992	79.239998	94.059998	20065.091205
0.000050	2.273134	79.239998	93.959999	20337.260602
0.000050	1.122274	78.879997	93.599998	20614.606082
0.000050	1.364698	78.879997	93.779999	20887.606679
0.000050	1.029170	79.239998	94.079994	21163.574870
0.000050	2.501063	79.239998	94.000000	21434.277041
0.000050	2.206352	78.979996	93.639999	21708.289762
0.000050	2.053366	78.979996	93.379997	21983.484394
0.000050	1.689692	79.239998	93.860001	22257.918894
0.000050	2.278175	79.239998	94.099998	22531.552354
0.000050	2.916787	79.239998	93.959999	22803.249616
0.000050	1.470301	79.199997	93.759995	23077.870953
0.000050	2.152464	79.199997	93.779999	23348.612787
0.000050	2.796561	79.439995	94.139999	23625.119615
0.000050	1.485459	79.239998	93.439995	23904.111031
0.000050	1.861313	79.239998	93.639999	24178.896078
0.000050	1.359757	79.439995	94.180000	24455.513421
0.000050	2.017202	79.639999	93.659996	24736.868590
0.000050	2.742244	79.439995	94.019997	25010.780212
0.000050	2.190954	79.639999	93.799995	25289.162392
0.000050	1.708755	79.680000	94.239998	25560.654242
0.000050	1.851922	79.680000	94.239998	25834.825751
0.000050	1.105422	79.639999	93.720001	26110.131743
0.000050	2.604672	79.680000	94.180000	26384.252515
0.000050	2.445810	79.680000	94.159996	26658.053095
0.000050	1.259696	79.639999	93.680000	26931.229507
0.000050	1.455777	79.680000	94.399994	27203.475679
0.000050	1.447508	79.639999	93.799995	27475.336936
