Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.127381	0.920133	89.916664	0.901667	90.739998	63.892881	
0.100000	0.633668	0.184042	95.169998	0.170157	95.419998	127.752140	
0.100000	0.457759	0.130708	96.300003	0.120989	96.320000	192.608707	
0.100000	0.391043	0.110169	96.785004	0.102826	96.790001	258.265539	
0.100000	0.364752	0.099322	96.991669	0.093302	97.029999	322.725021	
0.100000	0.327676	0.088564	97.353333	0.083864	97.320000	387.080877	
0.100000	0.315942	0.084576	97.536667	0.079682	97.570000	451.791407	
0.100000	0.302060	0.077976	97.708336	0.072333	97.680000	522.065512	
0.100000	0.276479	0.075260	97.791664	0.072183	97.860001	587.290340	
0.100000	0.272985	0.071605	97.934998	0.068495	97.830002	653.761791	
