Learning Rate	Avg. Loss	Train Loss	Train Acc.	Test Loss	Test Acc.	Time	
0.100000	1.173505	2.141453	52.771667	2.138857	54.470001	178.539117	
0.100000	0.853619	1.678459	78.366669	1.668114	79.730003	360.285605	
0.100000	0.720373	1.228153	81.861664	1.212673	82.410004	531.823066	
0.100000	0.727314	1.059424	76.553337	1.042081	76.790001	698.946972	
0.100000	0.805497	0.898168	80.211670	0.879291	80.760002	900.793219	
0.100000	0.903640	0.738548	86.136665	0.717411	87.339996	1097.634404	
0.100000	0.951700	0.592246	90.044998	0.573206	90.760002	1319.703862	
0.100000	0.985737	0.569576	90.731667	0.555289	91.430000	1548.231988	
0.100000	1.014812	0.564330	90.959999	0.552635	91.529999	1733.163904	
0.100000	1.033538	0.516179	91.531670	0.506577	91.809998	1925.401708	
